회사명,거래소코드,회계년도,총자본증가율(IFRS연결),유형자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),순이익증가율(IFRS연결),정상영업이익증가율(IFRS연결)
(주)MH에탄올,023150,2022/12,-0.89,-2.46,0,-1.17,1.27,-4.5,5.94,8.48,-15.66,-6.04
(주)SH에너지화학,002360,2011/12,9.51,1.39,-0.53,-4.09,29.29,83.05,2.97,14.99,0,0
(주)SH에너지화학,002360,2012/12,-0.97,-1.31,-0.53,-2.16,0.31,27.86,-0.29,11.97,-81.28,-47.6
(주)SH에너지화학,002360,2013/12,6.56,-2.2,-0.53,-3.28,16.91,-15.95,7.81,19.57,1146.78,194.26
(주)SH에너지화학,002360,2014/12,0.23,-2.91,-0.54,-1.99,2.16,16.36,20.89,-0.43,238.32,231.12
(주)SH에너지화학,002360,2015/12,4.32,4.91,-0.54,-6.17,13.08,-14.38,8.99,-6.27,-22.92,7.89
(주)SH에너지화학,002360,2016/12,7.76,-2.65,0,-14.88,23.47,-2.75,13.99,0.9,42.44,5.02
(주)SH에너지화학,002360,2017/12,0.66,-2.2,0,-6.34,4.01,72.7,3.22,-13.87,-46.61,-41.16
(주)SH에너지화학,002360,2018/12,-2.3,-3.39,0,-2.75,-2.1,11.35,-1.92,-2.4,-75.89,-85.19
(주)SH에너지화학,002360,2019/12,0.8,10.49,0,8.67,-2.57,-24.72,-5.94,-23.28,-223.7,-249.05
(주)SH에너지화학,002360,2020/12,-4.91,10.16,0,12.67,-13.3,-42.74,-7.76,-33.56,0,0
(주)SH에너지화학,002360,2021/12,1.94,-6.61,0,-7.88,8.02,28.48,1.94,49.39,0,0
(주)SH에너지화학,002360,2022/12,3.79,8.48,0,2.63,4.4,73.14,2.59,19.71,196.29,134.88
(주)SIMPAC,009160,2011/12,15.37,20.16,0,16.19,14.54,25.43,16.25,18.47,21.75,26.96
(주)SIMPAC,009160,2012/12,2.5,1.45,0,5.01,-0.08,-4.22,11.2,4.64,-22.78,-7.88
(주)SIMPAC,009160,2013/12,13.59,-0.39,0,52.71,-28.88,1.17,11.16,-8.7,3.93,-6.32
(주)SIMPAC,009160,2014/12,5.51,129.79,0,-6.42,33.34,58.76,4.71,27.9,-28.56,-26.52
(주)SIMPAC,009160,2015/12,10.71,6.84,0,4.92,20.18,38.05,6.1,2.42,14.79,22.48
(주)SIMPAC,009160,2016/12,-1.17,-1.26,0,-3.08,1.55,-18.23,3.62,-0.91,-1.54,10.95
(주)SIMPAC,009160,2017/12,-8.78,-3.38,0,-4.4,-14.77,-14.59,0.17,-13.64,-20.32,-50.36
(주)SIMPAC,009160,2018/12,78.86,106.96,195.59,60.97,106.23,180.33,80.64,32.74,436.6,-12.89
(주)SIMPAC,009160,2019/12,-0.38,-26.23,8008.05,5.1,-6.93,-19.88,1.42,40.48,-86.29,9.33
(주)SIMPAC,009160,2020/12,8.56,-13.51,-1.05,-1.52,22.15,49.41,5.17,-14.93,259.84,-30.1
(주)SIMPAC,009160,2021/12,22.51,-2.95,-7.53,-5.99,53.49,29.3,17.82,67.55,166.06,1266.33
(주)SIMPAC,009160,2022/12,6.85,9.16,-1.81,7.56,6.38,22.84,9.7,9.66,-16.18,11.79
(주)SNT에너지,100840,2011/12,,,,,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,,,,,
(주)SNT에너지,100840,2019/12,0,0,0,0,0,0,0,0,0,0
(주)SNT에너지,100840,2020/12,0.44,-0.42,-0.48,2.09,-0.6,-40.19,-3.75,11.28,-36.66,32.35
(주)SNT에너지,100840,2021/12,0,0,0,0,0,0,0,0,0,0
(주)SNT에너지,100840,2022/12,29.39,23.15,-0.49,33.14,26.91,326.13,4.32,18.58,20.76,-73.18
(주)SNT홀딩스,036530,2011/12,4.21,1.6,-0.53,-0.21,9.25,13.58,2.21,10.91,13.66,-0.27
(주)SNT홀딩스,036530,2012/12,-2.35,-0.49,-0.87,-0.64,-4.13,2.08,7.44,0.29,-14.76,-28.89
(주)SNT홀딩스,036530,2013/12,3.58,0.21,-7.96,0.22,7.2,10.92,4.85,-5.54,-16.31,-1.04
(주)SNT홀딩스,036530,2014/12,-5.11,-5.36,66.45,-3.15,-7.08,-8.75,4.62,-1.52,30.84,-22.75
(주)SNT홀딩스,036530,2015/12,6.37,-0.54,-0.23,-1.52,14.66,-5.34,6.51,3.89,10.19,146.6
(주)SNT홀딩스,036530,2016/12,1.88,-2.1,1.3,-2.3,5.66,-11.86,0.43,-4.65,-91.61,-55.25
(주)SNT홀딩스,036530,2017/12,-2.9,-3.08,-1.02,-4.62,-1.46,-8.88,1.47,-1.92,146.91,-16.11
(주)SNT홀딩스,036530,2018/12,-1.51,-1.31,-1.02,-1.32,-1.66,2.03,9.82,-7.08,303.74,19.81
(주)SNT홀딩스,036530,2019/12,5.81,0.21,-0.24,2.57,8.43,4.34,16.33,7.91,127.87,73.82
(주)SNT홀딩스,036530,2020/12,1.51,-10.91,196.82,6.02,-1.94,-5.86,11.38,-5.05,-40.18,0.64
(주)SNT홀딩스,036530,2021/12,0,0,0,0,0,0,0,0,0,0
(주)SNT홀딩스,036530,2022/12,7.84,4.04,-0.34,0.89,13.32,35.54,3.85,16.06,-33.42,15.23
(주)STX,011810,2011/12,-14.09,-43.6,-0.04,-0.03,-37.48,-26.6,28.79,47.5,1.24,162.45
(주)STX,011810,2012/12,-3.19,27.63,-0.58,-5.81,3.76,-42.09,-34.6,3.22,0,0
(주)STX,011810,2013/12,-73.5,-79.37,-0.59,-84.68,-46.53,-48.48,-145.6,-60.24,0,0
(주)STX,011810,2014/12,-6.52,-49.85,-12.25,-34.16,12.6,120.72,0,-33.27,0,0
(주)STX,011810,2015/12,0.97,-5.9,-53.74,1.03,0.95,52.33,-22.76,-0.23,0,0
(주)STX,011810,2016/12,-44.15,-27.52,-5.08,-39.37,-46.09,-28.51,-556.99,5.48,0,0
(주)STX,011810,2017/12,-11.33,-4.01,-99.73,-31.44,-2.17,-19.68,0,4.87,0,0
(주)STX,011810,2018/12,-11.71,4.93,10.53,-13.55,-11.12,-28.74,49.97,-16.68,-97.28,-133.55
(주)STX,011810,2019/12,1.09,21.6,0,32.4,-8.62,-8.22,-11.47,-2.12,-460.27,0
(주)STX,011810,2020/12,10.26,113.14,0,71.35,-17.21,-14.11,-50.05,-33.69,0,0
(주)STX,011810,2021/12,9.49,27.54,0,4.12,14.48,9.67,136.9,-5.13,0,0
(주)STX,011810,2022/12,9.71,-11,0,-10.71,26.98,-17.88,-25.01,28.42,0,0
(주)TCC스틸,002710,2011/12,9.56,4.88,8.5,12.52,5.46,16.95,0.1,11.61,-67.08,-41.84
(주)TCC스틸,002710,2012/12,20.4,70.34,-1.61,21.31,19.05,26.39,-0.29,-2.54,-96.47,-48.05
(주)TCC스틸,002710,2013/12,-0.6,8.84,-16.51,-1.49,0.73,16.43,-9.16,-0.1,0,0
(주)TCC스틸,002710,2014/12,1.34,-3.15,0.04,-1.82,5.99,6.11,-7.98,3.63,0,0
(주)TCC스틸,002710,2015/12,-31.69,-52.61,-96.16,-57.14,2.98,-60.62,-54.43,-4.47,0,4502.76
(주)TCC스틸,002710,2016/12,-24.84,-9.97,561.15,19.03,-49.71,5.89,20.26,-10.36,0,-3.18
(주)TCC스틸,002710,2017/12,-1.49,-8.89,9.67,-2.27,-0.44,1.78,-2.32,-11.94,-90.98,-47.19
(주)TCC스틸,002710,2018/12,9.36,-5.2,-1.36,-3.68,26.55,31.13,11.28,5.57,537.96,110.7
(주)TCC스틸,002710,2019/12,3.09,6.16,-1.42,8.26,-2.09,4.95,4.11,5.81,-48.34,-24.73
(주)TCC스틸,002710,2020/12,-2.37,3.13,-0.75,2.83,-8.14,-25.31,0.58,-1.23,0,-92.45
(주)TCC스틸,002710,2021/12,19.64,3.58,1.85,-2.88,47.58,37.69,28.74,24.28,0,2536.42
(주)TCC스틸,002710,2022/12,38.28,92.62,-5.47,40.05,36.84,56.81,35.05,27.53,1.86,71.82
(주)강원랜드,035250,2011/12,3.92,6.06,0,0.64,8.63,13.87,7.53,-3.66,-10.57,-12.08
(주)강원랜드,035250,2012/12,7.2,3.46,0,12.51,0.14,-46.54,5.08,2.41,-19.66,-17.13
(주)강원랜드,035250,2013/12,6.72,2.07,0,16.11,-7.3,24.38,6.13,5.02,-2.82,-4.16
(주)강원랜드,035250,2014/12,8.8,0.13,0,-0.91,26.97,-19.31,7.46,9.94,20.75,32.25
(주)강원랜드,035250,2015/12,9.35,-2.45,0,-3.14,27.6,34.59,10.81,9.17,22.9,16.02
(주)강원랜드,035250,2016/12,7.81,-2.8,0,11.81,3.38,-19.25,8.51,3.84,2.93,3.9
(주)강원랜드,035250,2017/12,5.19,-1.35,0,-6.83,19.61,-0.76,7.64,-5.43,-3.73,-14.18
(주)강원랜드,035250,2018/12,1.09,1.24,0,22.3,-18.72,-11.6,2.45,-10.37,-32.06,-18.87
(주)강원랜드,035250,2019/12,4.89,4.3,0,3.55,6.77,216.55,3.65,5.7,12.56,16.36
(주)강원랜드,035250,2020/12,-17.95,-1.55,0,-16.27,-20.23,-40.6,-12.66,-68.52,0,0
(주)강원랜드,035250,2021/12,5.1,-3.36,0,1.25,10.6,57.61,0.18,64.74,0,0
(주)강원랜드,035250,2022/12,8.9,-3.53,0,36.45,-27.2,18.3,5,61.17,0,0
(주)갤럭시아에스엠,011420,2011/12,0,0,0,0,0,0,0,0,0,0
(주)갤럭시아에스엠,011420,2012/12,0,0,0,0,0,0,0,0,0,0
(주)갤럭시아에스엠,011420,2013/12,-14.42,-8.69,0,-7.75,-19.61,237.05,-12.13,-15.64,0,-63.98
(주)갤럭시아에스엠,011420,2014/12,20.29,-1.22,0,4.48,34.39,302.64,7.97,-5.49,0,0
(주)갤럭시아에스엠,011420,2015/12,51.71,-4.9,0,30.92,66.12,-97.78,114.34,42.35,0,0
(주)갤럭시아에스엠,011420,2016/12,-14.91,-10.91,0,-15.44,-14.62,0,-9.84,-15.76,-183.84,-276.76
(주)갤럭시아에스엠,011420,2017/12,-14.74,-85.93,0,2.75,-24.2,0,-9.71,-29.16,0,0
(주)갤럭시아에스엠,011420,2018/12,-33.27,-30.89,0,-9.86,-50.43,0,-34.63,-40.83,0,0
(주)갤럭시아에스엠,011420,2019/12,-15.07,103.49,0,-23.18,-4.26,0,-17.65,30.25,0,0
(주)갤럭시아에스엠,011420,2020/12,,,,,,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,,,,,,
(주)갤럭시아에스엠,011420,2022/12,,,,,,,,,,
(주)경농,002100,2011/12,0,0,0,0,0,0,0,0,0,0
(주)경농,002100,2012/12,0,0,0,0,0,0,0,0,0,0
(주)경농,002100,2013/12,-4.98,8.71,-70.42,-0.34,-9.11,-3.63,6.67,43.36,23.73,47.54
(주)경농,002100,2014/12,11.19,17.21,-3.38,14.64,7.81,-0.56,2.85,-4.01,-44.35,-21.99
(주)경농,002100,2015/12,11.14,2.9,180.69,7.02,15.42,17.43,3.02,4.21,-10.12,-17.35
(주)경농,002100,2016/12,1.45,9.13,-2.56,6.25,-3.18,0.37,2.98,3.85,-3.58,-24.3
(주)경농,002100,2017/12,4.66,5.31,-1.8,4.6,4.73,3.3,3.31,1.25,55.69,-7.86
(주)경농,002100,2018/12,6.37,1.7,50.98,8.61,4,1.06,3.42,2.96,-45.49,74.84
(주)경농,002100,2019/12,3.81,-2.24,12.02,-0.76,8.85,10.54,0.56,6.99,-18.01,-41.16
(주)경농,002100,2020/12,0.18,-2.11,-11.89,-3.67,4.04,3.1,4.74,9.14,177.87,64.34
(주)경농,002100,2021/12,4.65,2.96,-26.81,1.79,7.3,-0.84,10.18,8.85,26.02,17.34
(주)경농,002100,2022/12,15.39,3.66,-2.62,3.09,26.25,18.65,9.33,33.79,68.9,144.5
(주)경동나비엔,009450,2011/12,10.31,8.79,-7.32,11.35,9.25,30.81,4.66,11.09,20.56,11.68
(주)경동나비엔,009450,2012/12,13.87,16.2,-1.84,15.45,12.24,-2.07,4.68,11.07,-2.36,12.11
(주)경동나비엔,009450,2013/12,18.37,53.62,-5.07,43,-7.79,20.49,6.55,9.28,20.9,42.08
(주)경동나비엔,009450,2014/12,13.21,3.55,241.31,9.5,19.33,16.45,1.4,3.58,-17.41,-31.94
(주)경동나비엔,009450,2015/12,0.11,2.16,-2.36,0.88,-1.06,4.38,8.48,19.36,80.96,79.9
(주)경동나비엔,009450,2016/12,6.88,4.42,-2.42,4.31,10.85,3.22,15.78,13.91,122.2,89.21
(주)경동나비엔,009450,2017/12,17.21,8.95,-2.48,7.26,31.62,22.64,8.66,17.39,-28.44,4.2
(주)경동나비엔,009450,2018/12,15.86,12.18,1.09,8.72,24.3,35.95,9.11,6.15,-6.3,-14.56
(주)경동나비엔,009450,2019/12,4.49,11.97,-2.58,13.13,-4.43,-7.95,7.48,6.54,12.51,9.86
(주)경동나비엔,009450,2020/12,20.48,9.01,-27.48,11.55,31.41,28.87,15.74,12.8,49.48,49.69
(주)경동나비엔,009450,2021/12,27.11,19.47,-51.49,22.45,31.95,47.35,29.37,26.28,93.71,-4.18
(주)경동나비엔,009450,2022/12,9.01,4.32,-13.47,8,9.98,18.94,14.94,5.25,-33.57,-7.04
(주)경동도시가스,267290,2017/12,,,,,,,,,,
(주)경동도시가스,267290,2018/12,9.57,1.23,0,0.18,17.88,16.96,8.92,84.33,91.84,96.9
(주)경동도시가스,267290,2019/12,-3.63,1.64,0,6.23,-11.05,2.6,5.98,-11.44,-28.03,-34.23
(주)경동도시가스,267290,2020/12,-6.71,-1.18,0,4.6,-16.87,-6.8,5.08,-23.61,-22.62,-35.36
(주)경동도시가스,267290,2021/12,0,0,0,0,0,0,0,0,0,0
(주)경동도시가스,267290,2022/12,18.03,0.33,0,0.95,30.08,21.75,5.21,58.18,9.31,-6.86
(주)경동인베스트,012320,2011/12,22.21,8.69,-68.83,4.67,36.91,-35.34,7.47,35.8,-30.11,-20.78
(주)경동인베스트,012320,2012/12,20.81,-0.03,0,1.23,33.36,229.89,9.54,35.45,41.44,39.16
(주)경동인베스트,012320,2013/12,-0.41,6.8,0,7.82,-4.41,-33.64,11.76,11.41,15.8,1.29
(주)경동인베스트,012320,2014/12,9.61,35.24,3785.74,29.85,-1.49,34.64,12.29,-6.64,47.04,-5.16
(주)경동인베스트,012320,2015/12,-11.58,9.7,-3.02,7.54,-25.41,-54.6,-3.86,-38.37,0,0
(주)경동인베스트,012320,2016/12,-3.57,2.47,-2.08,3.54,-10.98,31.18,1.71,-26.32,0,0
(주)경동인베스트,012320,2017/12,-46.78,-63.85,-0.41,-41.51,-53.17,29.99,-35.09,-83.5,173.81,26.9
(주)경동인베스트,012320,2018/12,-1.21,-0.49,-1.11,11.8,-20.93,115.72,10.37,17.21,-44.62,7.78
(주)경동인베스트,012320,2019/12,2.27,-3.35,41.45,-8.56,25.48,0.36,4.42,18.86,-66.62,-44
(주)경동인베스트,012320,2020/12,-2.67,-15.34,-0.58,-4.55,0.26,3.93,3.73,14.27,67.44,-11.36
(주)경동인베스트,012320,2021/12,-1.97,-6.62,-11.16,-1.93,-2.02,4.6,2.32,-3.89,-3.99,-28.63
(주)경동인베스트,012320,2022/12,1.58,-1.03,-2.57,0.89,2.61,6.5,3.75,-7.68,-2.91,5.88
(주)경방,000050,2011/12,1.76,3.05,-1.19,-0.17,22.46,78.47,-0.58,2.59,0,-53.86
(주)경방,000050,2012/12,-1.28,5.06,-1.86,-0.19,-10.81,-27.52,-1.43,-4.17,0,-67.31
(주)경방,000050,2013/12,-2.85,-5.42,0.23,-1.47,-16.39,-23.99,2.54,4.07,0,396.72
(주)경방,000050,2014/12,0.37,0.44,0.25,0.59,-2.11,-6.11,1.76,-5.23,-21.27,-15.02
(주)경방,000050,2015/12,1.29,5.82,-1.29,0.83,6.78,40,2.36,8.69,45.31,27.25
(주)경방,000050,2016/12,-1.27,-3.15,-1.3,-1.21,-1.93,-13.34,2.55,5.54,76.59,11.49
(주)경방,000050,2017/12,-2.14,-1.55,-0.71,-1.01,-14.86,-30.32,2.84,-4.41,-14.13,-2.6
(주)경방,000050,2018/12,2.18,-7.98,0.77,-0.23,33.75,87.31,1.38,-2.59,-20.23,-3.14
(주)경방,000050,2019/12,5.3,-49.03,5.5,-6.37,119.42,-47.64,4.62,-2.15,115.99,-21.86
(주)경방,000050,2020/12,-7.72,-8.34,-4.62,3.77,-55.7,-15.11,0.05,-4.27,-70.13,-31.75
(주)경방,000050,2021/12,0,0,0,0,0,0,0,0,0,0
(주)경방,000050,2022/12,-1.77,-9.78,-2.01,-4.09,19.43,89.08,0.38,1.53,-80.19,-40.71
(주)경보제약,214390,2011/12,,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,,
(주)경보제약,214390,2013/12,,,,,,,,,,
(주)경보제약,214390,2014/12,,,,,,,,,,
(주)경보제약,214390,2015/12,,,,,,,,,,
(주)경보제약,214390,2016/12,,,,,,,,,,
(주)경보제약,214390,2017/12,,,,,,,,,,
(주)경보제약,214390,2018/12,,,,,,,,,,
(주)경보제약,214390,2019/12,,,,,,,,,,
(주)경보제약,214390,2020/12,,,,,,,,,,
(주)경보제약,214390,2021/12,,,,,,,,,,
(주)경보제약,214390,2022/12,,,,,,,,,,
(주)경인양행,012610,2011/12,-0.67,1.15,-18.35,-0.1,-1.19,7.02,0.53,-12.89,-57.26,-38.8
(주)경인양행,012610,2012/12,-10.06,-8.87,35.31,-7.91,-12.04,-26.24,0.47,-6.22,-9.38,-42.69
(주)경인양행,012610,2013/12,10.26,2.88,-17.57,-0.11,20.27,28.87,9.53,19.31,352.45,206.1
(주)경인양행,012610,2014/12,-1.23,6.18,-0.56,5.23,-6.41,-1.02,4.83,6.28,-8.47,26.44
(주)경인양행,012610,2015/12,4.36,0.41,-0.57,1.07,7.33,6.41,0.61,-5.06,-80.98,-52.33
(주)경인양행,012610,2016/12,5.39,1.23,-0.57,1.91,8.35,4.11,3.1,4.45,171.48,57.44
(주)경인양행,012610,2017/12,3.97,8.64,-0.57,7.77,0.93,-2.31,1.01,9.14,-30.24,-30.37
(주)경인양행,012610,2018/12,15.38,3.8,-0.58,8.14,21.55,27.55,6.41,10.37,269.59,167.37
(주)경인양행,012610,2019/12,14.31,24.93,-0.58,23.58,7.27,14.03,5.63,8.37,5.71,19.62
(주)경인양행,012610,2020/12,6.99,11.44,-0.58,9.87,4.48,-22.54,-4.42,-8.22,0,-85.69
(주)경인양행,012610,2021/12,14.73,5.75,-0.59,4.95,23.71,24.78,10.3,22.48,0,741.42
(주)경인양행,012610,2022/12,-5.39,13,-0.59,12.1,-19.04,20.49,5.1,-0.17,-41.19,-1.04
(주)광명전기,017040,2011/12,6.84,-5.18,1.27,-0.41,12.97,-2.59,5.7,-10.75,0,-85.47
(주)광명전기,017040,2012/12,5.79,-9.46,-3.08,-4.7,13.62,26.57,2.07,26.88,0,744.11
(주)광명전기,017040,2013/12,-7.75,-7.45,-31.31,-15.55,-2.87,-11.74,10.38,0.54,733.61,157.45
(주)광명전기,017040,2014/12,14.61,4.27,3.15,5.27,19.7,18.28,12.87,14.36,44.36,15.58
(주)광명전기,017040,2015/12,-5.14,-0.05,-2.06,7.91,-11.39,-23.69,9.42,-13.7,-23.05,-25.03
(주)광명전기,017040,2016/12,11.72,6.94,50.51,54.06,-12.96,-29.01,15.21,-16.66,53.06,-61.29
(주)광명전기,017040,2017/12,3.99,81.3,-37.67,7.15,0.73,8.45,-1.56,4.76,-119.87,-39.23
(주)광명전기,017040,2018/12,-0.59,13.84,-29.62,2.44,-3.91,12.82,2.26,12.36,0,48.22
(주)광명전기,017040,2019/12,3.22,-33.3,-0.65,-14.98,24.5,-29.79,8.49,15.56,207.09,145.15
(주)광명전기,017040,2020/12,5.85,12.04,-92.92,-9.69,18.27,61.4,4.74,-6.31,-41.67,-46.94
(주)광명전기,017040,2021/12,2.44,-1.34,2.74,-8.76,9.27,37.38,5.27,10.96,24.5,-32.38
(주)광명전기,017040,2022/12,1.33,16.61,-1.92,12.42,-4.32,-6.5,3.34,0.84,-7.54,61.77
(주)광주신세계,037710,2011/12,,,,,,,,,,
(주)광주신세계,037710,2012/12,,,,,,,,,,
(주)광주신세계,037710,2013/12,,,,,,,,,,
(주)광주신세계,037710,2014/12,,,,,,,,,,
(주)광주신세계,037710,2015/12,,,,,,,,,,
(주)광주신세계,037710,2016/12,,,,,,,,,,
(주)광주신세계,037710,2017/12,,,,,,,,,,
(주)광주신세계,037710,2018/12,,,,,,,,,,
(주)광주신세계,037710,2019/12,,,,,,,,,,
(주)광주신세계,037710,2020/12,,,,,,,,,,
(주)광주신세계,037710,2021/12,,,,,,,,,,
(주)광주신세계,037710,2022/12,,,,,,,,,,
(주)국동,005320,2011/12,15.08,164.45,0,56.88,-3.65,-15.6,0,1.4,0,-38.26
(주)국동,005320,2012/12,-3.45,-8.63,0,-7.97,-0.16,-9.13,61.64,-10.45,0,497.14
(주)국동,005320,2013/12,10.99,-7.84,0,-7.78,23.61,40.62,63.56,7.01,-22.03,-18.71
(주)국동,005320,2014/12,22.22,16.9,0,18.11,24.28,-0.91,85.82,25.85,121.95,83.79
(주)국동,005320,2015/12,5.03,7.16,0,3.59,5.71,23.15,9.03,-8.49,-41.16,-14.71
(주)국동,005320,2016/12,32.39,40.15,0,36.91,30.28,14.46,65.65,15.9,18.59,22.04
(주)국동,005320,2017/12,-14.36,-11.01,0,-2.22,-20.31,-1.58,-17.58,-2.92,-244.44,-155.44
(주)국동,005320,2018/12,15.83,1.02,0,-1.49,26.26,3.9,13.71,14.59,0,0
(주)국동,005320,2019/12,8.6,-4.77,0,12.23,6.9,-1.03,35.08,1.61,0,0
(주)국동,005320,2020/12,35.13,11.86,-7.98,7.86,48.59,-7.28,27.97,13.6,0,0
(주)국동,005320,2021/12,-6.77,33.35,6.06,37.18,-22.51,98.79,22.15,-10.44,0,0
(주)국동,005320,2022/12,3.88,-4.1,83.03,0.08,6.29,-2.52,6.54,45.34,0,0
(주)국보,001140,2011/12,2.31,-3.12,-1.62,-3.65,11.94,4.11,-1.29,10.01,0,-32.93
(주)국보,001140,2012/12,-0.38,2.23,-1.65,3.18,-5.34,10.14,-2.01,-6.35,0,-21.4
(주)국보,001140,2013/12,-0.18,9.26,-1.68,2.58,-4.38,0.64,-11.93,-4.31,0,-46.48
(주)국보,001140,2014/12,-7.44,-2.41,10.06,-2.56,-15.36,-11.09,-23.9,-16.7,0,0
(주)국보,001140,2015/12,-8.7,-2.09,-89.46,-5.07,-15.5,-37.89,-18.54,-6.05,0,0
(주)국보,001140,2016/12,-2.14,-1.9,-1.47,-1.89,-2.66,-8.83,-17.39,-4.68,0,0
(주)국보,001140,2017/12,-9.89,-0.73,0,-0.94,-28.86,7.62,17.3,-10.39,0,-2027.47
