회사명,거래소코드,회계년도,총자본회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS)
(주)ES큐브,050120,2020/12,0.28,0.48,0.66,7.24,1.9,1.97,54.62,13.02,5.44,0.64
(주)ES큐브,050120,2021/12,0.52,0.59,4.13,7.69,4.33,4.48,128.33,14.5,57.55,2.21
(주)ES큐브,050120,2022/12,0.69,0.78,6.17,9.4,4.39,4.39,0,13.7,67.88,2.7
(주)가비아,079940,2011/12,0.94,1.47,2.62,76.27,3.51,3.51,4677.21,16.38,5.36,1.78
(주)가비아,079940,2012/12,0.86,1.39,2.29,25.97,4.08,4.1,719.91,19.52,2.49,1.85
(주)가비아,079940,2013/12,0.78,1.23,2.13,21.11,4.06,4.09,466.95,20.62,1.74,1.92
(주)가비아,079940,2014/12,0.81,1.2,2.5,24.14,3.47,3.49,1083.59,19.63,1.95,1.76
(주)가비아,079940,2015/12,0.85,1.2,2.93,25.05,2.99,2.99,0,20.22,2.18,1.76
(주)가비아,079940,2016/12,0.83,1.12,3.2,32.18,3.33,3.33,0,21.28,2.21,1.99
(주)가비아,079940,2017/12,0.83,1.13,3.17,26.25,3.83,3.83,0,20.11,2.34,1.91
(주)가비아,079940,2018/12,0.82,1.13,3,26.38,3.29,3.29,0,19.93,2.36,1.6
(주)가비아,079940,2019/12,0.77,1.12,2.41,30.42,3.64,3.64,0,20.09,1.82,1.66
(주)가비아,079940,2020/12,0.71,1.14,1.87,26.5,3.77,3.77,0,20.87,1.49,1.61
(주)가비아,079940,2021/12,0.7,1.18,1.72,35.37,3.32,3.32,0,22.71,1.41,1.55
(주)가비아,079940,2022/12,0.63,1.16,1.37,33.22,2.23,2.23,0,24.05,1.3,1.22
(주)가온칩스,399720,2018/12,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,
(주)가온칩스,399720,2020/12,0.67,1.57,1.17,3.67,0.85,0.85,0,7.4,4.83,0.58
(주)가온칩스,399720,2021/12,1.03,1.97,2.16,5.98,1.29,1.29,0,15.09,7.59,0.88
(주)가온칩스,399720,2022/12,0.79,1.14,2.56,10.86,1.03,1.03,0,9.87,5.51,0.77
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,0.06,0.07,0.4,11.87,0.08,0.08,4.43,4.97,0.5,0.07
(주)강스템바이오텍,217730,2016/12,0.02,0.04,0.06,4.2,0.03,0.03,1.84,3.59,0.24,0.03
(주)강스템바이오텍,217730,2017/12,0.12,0.23,0.24,7.12,0.17,0.18,4.67,31.39,0.65,0.16
(주)강스템바이오텍,217730,2018/12,0.02,0.03,0.05,1.36,0.03,0.03,0.9,1.67,0.07,0.02
(주)강스템바이오텍,217730,2019/12,0,0,0.01,1.13,0.01,0.01,1.05,0.54,0.02,0
(주)강스템바이오텍,217730,2020/12,0,0,0.01,1.12,0.01,0.01,9.52,29.09,0.01,0.01
(주)강스템바이오텍,217730,2021/12,0.05,0.06,0.2,6.78,0.07,0.07,9.49,18.22,0.17,0.07
(주)강스템바이오텍,217730,2022/12,0.07,0.1,0.32,9.41,0.11,0.11,9.61,9.31,0.28,0.1
(주)강원에너지,114190,2011/11,1.22,2.29,2.6,4.83,1.4,1.5,21.24,3.89,14.19,0.91
(주)강원에너지,114190,2012/12,1.19,2.95,2,6.06,1.32,1.39,27.95,2.56,24.11,0.8
(주)강원에너지,114190,2013/12,0.63,1.24,1.27,4.14,0.71,0.74,17.19,1.77,11.01,0.46
(주)강원에너지,114190,2014/12,0.74,1.07,2.39,6.49,0.93,0.97,26.93,2.52,6.96,0.67
(주)강원에너지,114190,2015/12,0.66,0.93,2.29,5.46,0.91,0.93,32.89,2.39,4.96,0.65
(주)강원에너지,114190,2016/12,0.59,0.82,2.06,6.25,0.82,0.83,56.65,2.09,4.63,0.59
(주)강원에너지,114190,2017/12,1.05,1.65,2.88,8.05,1.43,1.44,238.62,2.3,8.87,0.98
(주)강원에너지,114190,2018/12,0.97,1.78,2.12,6.49,1.26,1.27,189.82,1.97,9.49,0.8
(주)강원에너지,114190,2019/12,0.59,1.18,1.17,4.48,0.85,0.85,128.45,1.53,4.74,0.51
(주)강원에너지,114190,2020/12,0.87,1.91,1.6,6.57,1.47,1.48,226.52,3.34,4.97,0.83
(주)강원에너지,114190,2021/12,1.19,1.93,3.07,14.59,1.66,1.69,97.48,4.7,7.03,1.14
(주)강원에너지,114190,2022/12,1.44,2.33,3.77,17.03,1.95,1.98,115.29,5.18,11.42,1.31
(주)고려시멘트,198440,2014/12,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,
(주)고려시멘트,198440,2017/12,0.76,1.13,2.28,14.94,2.27,2.49,26.32,2.96,1.83,1.42
(주)고려시멘트,198440,2018/12,0.7,1.05,2.16,16.69,1.94,2.12,22.65,2.81,1.77,1.21
(주)고려시멘트,198440,2019/12,0.56,0.81,1.78,18.26,1.47,1.66,12.68,2.53,1.42,0.92
(주)고려시멘트,198440,2020/12,0.58,0.78,2.28,22.04,1.65,1.88,13.47,2.87,1.38,1.14
(주)고려시멘트,198440,2021/12,0.5,0.63,2.5,16.42,1.51,1.66,17.09,3.19,1.02,1.21
(주)고려시멘트,198440,2022/12,0.49,0.62,2.43,19,1.58,1.81,12.85,3.45,0.88,1.28
(주)고바이오랩,348150,2019/12,,,,,,,,,,
(주)고바이오랩,348150,2020/12,0.08,0.08,2.98,0,0.08,0.08,43.5,1.71,15.62,0.08
(주)고바이오랩,348150,2021/12,0.04,0.04,0.4,0,0.04,0.04,16,2.01,0.96,0.04
(주)고바이오랩,348150,2022/12,0.07,0.09,0.41,0,0.09,0.09,58.36,37.47,0.81,0.08
(주)고영테크놀러지,098460,2011/12,1.02,1.28,5.16,13.09,1.46,1.82,7.31,3.36,5.84,1.18
(주)고영테크놀러지,098460,2012/12,1.06,1.3,5.67,14.78,1.47,1.85,7.16,3.58,6.67,1.21
(주)고영테크놀러지,098460,2013/12,0.93,1.13,5.17,12.49,1.23,1.53,6.29,3.06,6.92,1.04
(주)고영테크놀러지,098460,2014/12,1.03,1.24,6.05,15.24,1.35,1.6,8.68,3.28,7.86,1.15
(주)고영테크놀러지,098460,2015/12,0.92,1.1,5.53,16.54,1.19,1.34,10.73,2.6,7.08,1.02
(주)고영테크놀러지,098460,2016/12,0.86,1.05,4.84,15.08,1.09,1.2,12.23,2.16,7.16,0.94
(주)고영테크놀러지,098460,2017/12,0.94,1.17,4.87,14.73,1.2,1.3,14.91,2.09,7.93,1.02
(주)고영테크놀러지,098460,2018/12,0.91,1.12,4.8,15.64,1.12,1.23,13.64,2.17,7.78,0.96
(주)고영테크놀러지,098460,2019/12,0.71,0.87,3.93,16.16,0.91,1,10.26,2,6.18,0.78
(주)고영테크놀러지,098460,2020/12,0.51,0.62,2.95,13.87,0.73,0.81,7.02,1.61,4.52,0.64
(주)고영테크놀러지,098460,2021/12,0.69,0.86,3.49,21.04,0.96,1.07,9.06,2.4,6.38,0.84
(주)고영테크놀러지,098460,2022/12,0.65,0.82,3.05,20.05,0.86,0.96,8.19,2.21,5.32,0.74
(주)골드앤에스,035290,2011/12,1.05,2.14,2.05,53.45,2.37,2.78,16.01,6.78,41.12,1.22
(주)골드앤에스,035290,2012/12,0.9,1.8,1.81,52.9,1.74,1.95,15.93,6.26,47.54,0.96
(주)골드앤에스,035290,2013/12,0.86,2.03,1.48,41.28,1.62,1.85,12.67,6.3,44.06,0.84
(주)골드앤에스,035290,2014/12,0.93,3.11,1.32,29.53,1.74,2.13,9.69,5.88,44.83,0.84
(주)골드앤에스,035290,2015/12,0.85,1.84,1.56,28.91,1.44,1.73,8.42,4.35,55.33,0.84
(주)골드앤에스,035290,2016/12,0.76,1.09,2.48,33.3,1.34,1.64,7.41,3.27,64.4,0.91
(주)골드앤에스,035290,2017/12,0.73,0.94,3.17,54.86,1.31,1.55,8.49,4.12,48.25,0.98
(주)골드앤에스,035290,2018/12,0.29,0.64,0.53,56.24,0.54,0.59,7.39,5.94,1.51,0.27
(주)골드앤에스,035290,2019/12,0.26,0,0.31,75.98,0.61,0.66,8.55,6.44,1.02,0.21
(주)골드앤에스,035290,2020/12,0.23,0,0.3,33.98,0.64,0.68,9.6,5.27,1.13,0.23
(주)골드앤에스,035290,2021/12,0.58,0.91,1.59,89.04,1.24,1.28,37.5,18.87,3.89,0.98
(주)골드앤에스,035290,2022/12,0.43,0.63,1.37,53.5,0.69,0.71,23.82,10.74,4.63,0.56
(주)골드퍼시픽,038530,2011/12,0.44,0.52,2.92,0,0.69,0.87,3.44,8.87,1.9,0.61
(주)골드퍼시픽,038530,2012/12,0.37,0.47,1.67,58.2,0.61,0.88,2.02,3.56,1.12,0.52
(주)골드퍼시픽,038530,2013/12,0.21,0.32,0.64,35.99,0.37,0.57,1.06,1.46,0.81,0.27
(주)골드퍼시픽,038530,2014/12,0.16,0.29,0.34,0,0.31,0.44,1.02,0.91,0.75,0.2
(주)골드퍼시픽,038530,2015/12,0.21,0.33,0.55,51.9,0.41,0.49,2.3,1.1,1.49,0.29
(주)골드퍼시픽,038530,2016/12,0.5,0.87,1.15,81.3,0.97,1.07,10.88,3.37,4.9,0.63
(주)골드퍼시픽,038530,2017/12,0.27,1.39,0.33,15.93,0.44,0.46,16.75,3.44,3.83,0.2
(주)골드퍼시픽,038530,2018/12,0.17,0.44,0.29,15.13,0.28,0.29,8.25,3.33,8.09,0.16
(주)골드퍼시픽,038530,2019/12,0.21,0.55,0.33,13.52,0.45,0.49,5.2,4.9,22.82,0.2
(주)골드퍼시픽,038530,2020/12,0.2,0.35,0.45,11.02,0.41,0.45,4.07,5.38,17.79,0.22
(주)골드퍼시픽,038530,2021/12,0.11,0.14,0.48,10.34,0.16,0.17,2.68,3.12,10.85,0.12
(주)골드퍼시픽,038530,2022/12,0.4,0.52,1.68,46.01,0.59,0.61,13.57,10.31,51.49,0.44
(주)골프존,215000,2015/12,,,,,,,,,,
(주)골프존,215000,2016/12,1.11,1.7,3.19,76.25,2.6,3.04,17.79,16.99,2.83,1.54
(주)골프존,215000,2017/12,0.82,1.16,2.88,57.55,1.57,1.74,16.14,12.57,2.52,1.09
(주)골프존,215000,2018/12,0.78,1.01,3.34,51.16,1.38,1.48,21.02,11.16,2.58,1.02
(주)골프존,215000,2019/12,0.85,1.19,3.06,69.31,2.34,2.53,30.98,12.98,2.49,1.53
(주)골프존,215000,2020/12,0.86,1.29,2.57,84.92,3.21,3.51,36.98,16.74,2.53,1.87
(주)골프존,215000,2021/12,1.03,1.6,2.91,75.95,2.69,2.95,30.32,19.13,3.81,1.66
(주)골프존,215000,2022/12,1.17,1.74,3.54,48.11,2.61,2.97,21.31,16.39,5.38,1.69
(주)골프존뉴딘홀딩스,121440,2011/12,0.76,0.83,8.9,48.57,1.09,1.11,57.87,28.87,6.92,0.98
(주)골프존뉴딘홀딩스,121440,2012/12,0.62,0.73,4.36,50.58,1.07,1.12,25.68,27.5,2.98,0.86
(주)골프존뉴딘홀딩스,121440,2013/12,0.62,0.81,2.58,43.58,1.17,1.27,14.34,28.68,2.5,0.81
(주)골프존뉴딘홀딩스,121440,2014/12,0.66,0.86,2.81,48.68,1.58,1.8,12.76,30.31,2.46,1.02
(주)골프존뉴딘홀딩스,121440,2015/12,0.05,0.06,0.4,8.87,0.27,0.31,1.98,4.28,0.21,0.17
(주)골프존뉴딘홀딩스,121440,2016/12,0.05,0.05,0.62,0,0.51,0.51,0,16.65,0.28,0.42
(주)골프존뉴딘홀딩스,121440,2017/12,0.04,0.05,0.42,0,0.43,0.43,0,12.94,0.25,0.29
(주)골프존뉴딘홀딩스,121440,2018/12,0.03,0.03,0.24,0,0.3,0.3,0,8.1,0.18,0.16
(주)골프존뉴딘홀딩스,121440,2019/12,0.05,0.06,0.32,0,0.6,0.6,0,13.61,0.35,0.34
(주)골프존뉴딘홀딩스,121440,2020/12,0.1,0.13,0.63,113151.58,1.58,1.58,777.53,29.68,0.84,1.18
(주)골프존뉴딘홀딩스,121440,2021/12,0.13,0.15,0.81,84047.98,2.67,2.69,574.42,31.65,1.19,1.29
(주)골프존뉴딘홀딩스,121440,2022/12,0.14,0.16,0.96,226720.06,3.48,3.49,1483.01,34.5,1.53,1.48
(주)공구우먼,366030,2017/12,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,
(주)공구우먼,366030,2020/12,1.36,1.54,11.99,191.93,2.72,3.13,21.1,38.07,2.95,2.22
(주)공구우먼,366030,2021/12,1.7,1.96,13.22,542.2,3.09,3.66,19.79,42.89,4.16,2.53
(주)공구우먼,366030,2022/12,1.24,1.36,14.09,2325.61,1.78,2,15.83,42.65,4.9,1.59
(주)광림,014200,2011/12,1.08,1.91,2.51,10.56,1.76,3.56,3.5,5.45,4.49,1.09
(주)광림,014200,2012/12,0.97,1.42,3.05,11.3,1.66,3.42,3.21,6.35,3.58,1.16
(주)광림,014200,2013/12,1.08,1.61,3.28,10.93,1.72,2.89,4.28,8.26,4.33,1.22
(주)광림,014200,2014/12,0.83,1.41,2.04,9.52,1.54,2.42,4.23,7.02,3.88,0.97
(주)광림,014200,2015/12,1.78,3.22,3.97,26.91,4.25,7.13,10.56,19.39,9.85,2.28
(주)광림,014200,2016/12,0.59,1.02,1.37,8.28,1.6,2.64,4.06,8.74,3.48,0.8
(주)광림,014200,2017/12,0.38,0.75,0.78,10.55,0.65,0.74,5.3,16.44,3.83,0.38
(주)광림,014200,2018/12,0.25,0.51,0.49,7.65,0.38,0.41,4.29,15.15,3,0.23
(주)광림,014200,2019/12,0.43,1.03,0.75,9.6,0.82,0.98,4.84,16.33,3.9,0.41
(주)광림,014200,2020/12,0.49,1,0.95,9.81,1.52,2,6.35,20.8,4.15,0.6
(주)광림,014200,2021/12,0.54,0.78,1.76,9.94,2.12,2.99,7.28,34.61,4.89,0.99
(주)광림,014200,2022/12,0.62,0.83,2.5,11.86,1.9,2.87,5.62,58.9,5.19,1.13
(주)광무,029480,2011/12,0.49,0.91,1.08,13.83,1.04,1.42,3.9,3.86,4.74,0.56
(주)광무,029480,2012/12,0.55,0.94,1.34,15.81,1.55,2.27,4.85,6.13,2.71,0.78
(주)광무,029480,2013/12,0.23,0.42,0.49,8.24,0.87,1.15,3.5,3.28,0.87,0.36
(주)광무,029480,2014/12,1.35,3.87,2.08,27.3,4.66,4.79,160.08,13.65,3.92,1.69
(주)광무,029480,2015/12,0.72,2.17,1.08,8.37,2.39,2.51,49.9,4.75,2.11,0.98
(주)광무,029480,2016/12,1.05,3.35,1.54,10.3,3.08,3.31,44.39,6.63,3.27,1.43
(주)광무,029480,2017/12,0.74,1.99,1.18,5.78,1.6,1.66,47.72,4,2.73,0.8
(주)광무,029480,2018/12,0.75,1.78,1.31,4.81,1.5,1.53,87.19,3.37,2.65,0.76
(주)광무,029480,2019/12,0.61,1.58,0.98,5.32,1.1,1.12,65.66,3.9,5.1,0.55
(주)광무,029480,2020/12,0.53,1.08,1.05,6.91,0.95,0.96,76.1,4.66,14.53,0.52
(주)광무,029480,2021/12,0.27,0.49,0.59,7.84,0.4,0.4,175.24,4.31,11.42,0.24
(주)광무,029480,2022/12,0.66,1.2,1.49,10.67,0.82,0.82,259.26,2.89,38.67,0.53
(주)구스앤홈,329050,2017/12,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,,,
(주)구영테크,053270,2011/12,0.69,2.29,0.98,9.44,1.65,1.9,12.56,4.89,2.25,0.66
(주)구영테크,053270,2012/12,0.64,2.29,0.89,9.52,1.46,1.7,10.26,4.54,2.26,0.59
(주)구영테크,053270,2013/12,0.74,2.54,1.04,10.67,1.79,2.16,10.29,5.03,2.38,0.71
(주)구영테크,053270,2014/12,0.78,2.13,1.23,10.97,2.02,2.53,10.04,4.4,2.45,0.85
(주)구영테크,053270,2015/12,0.85,2.02,1.48,12.5,2.13,2.6,11.85,4.56,2.7,1.02
(주)구영테크,053270,2016/12,0.71,1.66,1.24,9.69,1.87,2.28,10.44,4.6,2.12,0.96
(주)구영테크,053270,2017/12,0.6,1.59,0.96,9.75,1.62,1.96,9.42,5.33,1.58,0.8
(주)구영테크,053270,2018/12,0.57,1.56,0.9,13.22,1.72,2.13,8.92,5.64,1.28,0.84
(주)구영테크,053270,2019/12,0.65,1.6,1.09,15.5,2.31,3.06,9.38,5.67,1.3,1.09
(주)구영테크,053270,2020/12,0.58,1.45,0.97,10.49,2,2.61,8.53,5.34,1.16,0.9
(주)구영테크,053270,2021/12,0.67,1.68,1.12,12.13,2.2,2.86,9.53,7.2,1.33,1.03
(주)구영테크,053270,2022/12,0.76,1.82,1.31,14.84,2.4,3.17,9.85,7.54,1.5,1.15
(주)국보디자인,066620,2011/12,1.6,2.71,3.94,22.93,2.29,2.29,975.45,5.82,86.87,1.46
(주)국보디자인,066620,2012/12,1.38,2.22,3.63,31.25,1.82,1.82,0,7.08,64.31,1.23
(주)국보디자인,066620,2013/12,1.43,2.49,3.35,18.1,1.82,1.82,0,7.47,69.31,1.2
(주)국보디자인,066620,2014/12,1.28,2.34,2.82,13.01,1.63,1.63,0,7.2,66.13,1.05
(주)국보디자인,066620,2015/12,1.24,2.16,2.9,13.62,1.61,1.61,0,8.41,33.18,1.06
(주)국보디자인,066620,2016/12,1.37,2.46,3.09,13.6,1.78,1.78,0,9.81,26.75,1.16
(주)국보디자인,066620,2017/12,1.7,3.01,3.9,16.13,2.13,2.13,0,14.34,35.8,1.41
(주)국보디자인,066620,2018/12,1.44,2.33,3.79,15.61,1.81,1.81,0,11.27,32.28,1.25
(주)국보디자인,066620,2019/12,1.32,2.2,3.3,12.5,1.59,1.59,0,6.23,30.71,1.1
(주)국보디자인,066620,2020/12,1.14,1.92,2.79,11.76,1.98,1.98,0,6.61,30.92,1.19
(주)국보디자인,066620,2021/12,1.03,1.64,2.79,12.94,3.17,3.17,0,8.91,36.51,1.58
(주)국보디자인,066620,2022/12,1.18,2,2.85,11.56,2.58,2.58,5095.04,7.96,39.53,1.4
(주)국순당,043650,2011/12,0.64,0.72,5.95,39.93,1.47,1.78,8.4,11.92,1.62,1.22
(주)국순당,043650,2012/12,0.58,0.64,6.23,42.54,1.45,1.79,7.68,10.25,1.52,1.23
(주)국순당,043650,2013/12,0.47,0.52,5.59,39.35,1.16,1.4,6.75,8.96,1.32,1.01
(주)국순당,043650,2014/12,0.44,0.48,4.93,40.49,1.04,1.23,7,8.3,1.32,0.91
(주)국순당,043650,2015/12,0.37,0.4,4.12,35.08,0.89,1.03,6.33,6.36,1.21,0.77
(주)국순당,043650,2016/12,0.34,0.37,3.99,33.38,0.88,1.04,6.02,6.57,1.17,0.78
(주)국순당,043650,2017/12,0.29,0.32,3.54,32.68,0.82,0.95,5.7,7.32,1.14,0.72
(주)국순당,043650,2018/12,0.24,0.27,3.03,28.94,0.76,0.9,5.02,7.64,0.98,0.66
(주)국순당,043650,2019/12,0.22,0.24,3.12,28.5,0.78,0.94,4.51,7.34,0.93,0.68
(주)국순당,043650,2020/12,0.23,0.25,3.49,39.09,0.85,1.02,5.04,7.61,1.13,0.75
(주)국순당,043650,2021/12,0.26,0.28,3.43,35.18,1,1.21,5.77,8.94,1.51,0.86
(주)국순당,043650,2022/12,0.29,0.32,3.72,30.03,0.94,1.13,5.47,9.57,1.86,0.81
(주)국영지앤엠,006050,2011/12,0.79,1.26,2.13,92.83,1.77,1.9,24.75,3.92,1.8,1.13
(주)국영지앤엠,006050,2012/12,0.72,1.11,2.06,112.82,1.89,2.02,28.37,4.25,1.38,1.26
(주)국영지앤엠,006050,2013/12,0.9,1.21,3.6,197.02,2.41,2.59,35.19,6.28,1.75,1.72
(주)국영지앤엠,006050,2014/12,0.84,1.1,3.61,192.93,2.16,2.32,30.48,6.35,1.61,1.53
(주)국영지앤엠,006050,2015/12,0.65,0.83,3.03,138.87,1.59,1.69,25.65,4.29,1.25,1.14
(주)국영지앤엠,006050,2016/12,0.8,1.03,3.45,175.88,1.79,1.98,19.09,4.21,1.62,1.26
(주)국영지앤엠,006050,2017/12,0.95,1.22,4.4,136.18,2.11,2.4,17.33,4.33,1.98,1.52
(주)국영지앤엠,006050,2018/12,0.89,1.08,5.1,82.47,2.04,2.28,19.29,4.7,1.81,1.5
(주)국영지앤엠,006050,2019/12,1.13,1.4,5.98,131.19,2.55,2.81,27.93,7.38,2.37,1.87
(주)국영지앤엠,006050,2020/12,0.93,1.24,3.7,152.18,2,2.14,29.86,6.16,2.07,1.4
(주)국영지앤엠,006050,2021/12,0.81,1.13,2.81,136.17,1.77,1.92,22.55,7.13,1.86,1.15
(주)국영지앤엠,006050,2022/12,0.96,1.35,3.32,164.87,2.08,2.29,22.48,7.83,2.29,1.33
(주)국전약품,307750,2018/12,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,
(주)국전약품,307750,2020/12,1.39,2.5,3.15,13.66,2.07,2.99,6.69,5.1,5.7,1.33
(주)국전약품,307750,2021/12,1.04,1.48,3.45,10.11,1.47,1.95,6.04,4.77,4.51,1.07
(주)국전약품,307750,2022/12,0.69,1.19,1.64,10.14,0.95,1.13,5.7,4.95,3.07,0.67
(주)그래디언트,035080,2011/12,0.02,0.03,0.1,0,0.07,0.07,0,10.59,9.63,0.05
(주)그래디언트,035080,2012/12,0.02,0.03,0.09,0,0.58,0.58,0,13.12,13.96,0.12
(주)그래디언트,035080,2013/12,0.02,0.02,0.11,0,0.99,0.99,0,13.93,18.13,0.18
(주)그래디언트,035080,2014/12,0.02,0.02,0.15,0,2.84,2.84,0,21.34,19.79,0.21
(주)그래디언트,035080,2015/12,0.03,0.03,0.32,0,5.49,5.49,0,36.9,30.87,0.46
(주)그래디언트,035080,2016/12,0.04,0.04,0.55,0,24.57,24.57,0,91.74,45.75,0.8
(주)그래디언트,035080,2017/12,0.03,0.03,0.82,0,6.94,6.94,0,0,33.88,1.03
(주)그래디언트,035080,2018/12,0.04,0.04,0.83,0,4.17,4.17,0,0,38.08,0.97
(주)그래디언트,035080,2019/12,0.03,0.03,0.58,0,6.05,6.05,0,0,5.69,0.71
(주)그래디언트,035080,2020/12,0.38,0.52,1.48,23.27,2.41,2.71,21.94,22.78,4.02,0.97
(주)그래디언트,035080,2021/12,0.03,0.05,0.06,2.08,0.07,0.07,1.97,2.04,0.37,0.03
(주)그래디언트,035080,2022/12,0.01,0.02,0.06,0,0.03,0.03,0,670.08,9.32,0.02
(주)그리티,204020,2011/12,,,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,,,
(주)그리티,204020,2014/12,2.17,2.49,16.93,68.27,2.5,4.09,6.45,19.1,143.1,2.18
(주)그리티,204020,2015/12,2.14,2.43,17.9,76.56,2.49,4.01,6.55,21.22,137.76,2.19
(주)그리티,204020,2016/12,2,2.29,15.46,56.14,2.39,3.89,6.2,23.98,119.23,2.07
(주)그리티,204020,2017/12,2.1,2.43,15.44,65.51,2.58,4.77,5.62,20.97,135.19,2.21
(주)그리티,204020,2018/12,1.57,1.82,11.4,50.43,1.85,3.36,4.12,20.56,163.94,1.63
(주)그리티,204020,2019/12,1.4,1.63,9.89,45.29,1.68,2.99,3.82,24.78,87.59,1.47
(주)그리티,204020,2020/12,1.42,1.62,11.26,53.97,1.89,3.9,3.67,18.8,39.72,1.64
(주)그리티,204020,2021/12,1.33,1.51,11.16,39.04,1.94,5.24,3.09,18.05,25.83,1.69
(주)그리티,204020,2022/12,1.89,2.15,15.7,66.39,2.74,10.89,3.66,29.57,36.35,2.36
(주)그린플러스,186230,2011/12,,,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,,,
(주)그린플러스,186230,2017/12,,,,,,,,,,
(주)그린플러스,186230,2018/12,0.87,1.8,1.67,24.91,2.09,3,6.89,3.34,2.44,1.22
(주)그린플러스,186230,2019/12,0.75,1.31,1.76,33.18,1.62,2.15,6.61,2.75,2.29,1.03
(주)그린플러스,186230,2020/12,0.86,1.58,1.88,28.56,1.61,1.92,10.01,3.2,2.94,1.01
(주)그린플러스,186230,2021/12,0.95,1.62,2.3,25.42,1.61,1.9,10.63,4.08,3.69,1.08
(주)그린플러스,186230,2022/12,0.89,1.3,2.82,33.26,1.69,2.11,8.66,5.04,3.52,1.16
(주)극동자동화,272420,2014/12,,,,,,,,,,
(주)극동자동화,272420,2015/12,,,,,,,,,,
(주)극동자동화,272420,2016/12,,,,,,,,,,
