회사명,거래소코드,회계년도,총자본증가율(IFRS),유형자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),정상영업이익증가율(IFRS)
(주)SNT홀딩스,036530,2013/12,2.15,-45.54,0,-0.03,20.79,0,2.12,1.24,-11.02,3.4
(주)SNT홀딩스,036530,2014/12,0.48,38.13,0,1.16,-4.33,0,0.51,-12.74,-14.05,-13.83
(주)SNT홀딩스,036530,2015/12,7.85,-26.66,0,-6.14,112.49,0,5.78,10.04,302.89,12.63
(주)SNT홀딩스,036530,2016/12,-0.83,-35.54,0,-0.3,-2.59,0,1.13,15.85,-75.07,19.05
(주)SNT홀딩스,036530,2017/12,-0.37,-44.2,0,-0.71,0.8,0,-0.36,-24.45,-39.73,-32.48
(주)SNT홀딩스,036530,2018/12,-0.62,-85.48,0,1.85,-8.83,0,-0.6,-1.7,49.03,-0.18
(주)SNT홀딩스,036530,2019/12,-1.33,1965.67,0,15.66,-64.56,0,-1.33,51.07,48.67,66.76
(주)SNT홀딩스,036530,2020/12,1.63,-23.75,0,4.18,-29.43,0,1.62,129.76,148.28,155.5
(주)SNT홀딩스,036530,2021/12,0.41,-16.57,0,0.18,4.5,0,0.32,-25.34,-27.93,-28.17
(주)SNT홀딩스,036530,2022/12,2.11,-30.82,0,1.17,18.16,0,2.06,12.06,15.03,13.57
(주)STX,011810,2011/12,16.98,249.17,-41.14,22.07,6.64,20.78,24.6,30.76,843.67,-14.85
(주)STX,011810,2012/12,-2.28,-4.4,-0.64,2.64,-13.71,-54.85,-3.53,-1.36,0,-71.26
(주)STX,011810,2013/12,-66.33,-10.7,-0.65,-81.17,-25.29,-56.01,0,-53.97,0,0
(주)STX,011810,2014/12,-1.48,-8.1,-20.01,-23.33,13.74,211.07,0,-31.86,0,0
(주)STX,011810,2015/12,-1.2,-5.96,0,15.31,-8.96,-3.42,31.74,5.48,0,0
(주)STX,011810,2016/12,-40.65,-42.66,0,-52.76,-33.44,-2.57,0,7.59,0,0
(주)STX,011810,2017/12,-17.09,-3.79,0,-8.52,-20.71,-26.06,0,8.87,0,0
(주)STX,011810,2018/12,-14.15,-3.94,0,-12.66,-14.88,-13.76,39.15,-16.65,-98.51,0
(주)STX,011810,2019/12,3.58,51.93,0,14.33,-1.8,0.61,-18.64,-6.92,0,0
(주)STX,011810,2020/12,-21.58,14.82,0,21.11,-46.44,-52.33,-48.92,-36.31,0,0
(주)STX,011810,2021/12,7.25,5.2,0,5.76,9.22,-7.43,132.36,-17.84,0,0
(주)STX,011810,2022/12,-3.14,-23.48,0,-12.24,8.46,-30.36,-29.06,35.8,0,-74.42
(주)TCC스틸,002710,2011/12,11.29,3.71,8.06,13.81,7.73,23.11,1.2,10.88,-50.1,-35.7
(주)TCC스틸,002710,2012/12,7.58,-4.95,-2.7,10.54,3.16,-0.93,2.01,-3.58,-38.4,-7.16
(주)TCC스틸,002710,2013/12,1.27,-0.42,-0.76,8.94,-11.02,-17.32,0.16,-4.79,-90.69,-28.5
(주)TCC스틸,002710,2014/12,3.85,-3.53,-0.8,8.84,-5.93,-5.75,0,-4.33,161.02,30.19
(주)TCC스틸,002710,2015/12,-28.32,-26.34,0,-59.85,43.15,-22.72,-63.56,-12.77,0,34.06
(주)TCC스틸,002710,2016/12,-24.13,-13.64,0,19.71,-52,-1.74,20.99,-9.38,0,-8.78
(주)TCC스틸,002710,2017/12,-0.79,4.14,-17.16,-4.48,5.06,7.1,-3.24,5.21,0,-49.14
(주)TCC스틸,002710,2018/12,7.73,-5.13,-1.33,-5.08,26.21,29.54,9.73,5.26,0,141.22
(주)TCC스틸,002710,2019/12,0.79,9.09,-1.34,6.36,-5.24,8.21,-0.86,-3.41,-73.61,-22.38
(주)TCC스틸,002710,2020/12,-3.35,-1.58,-1.36,1.68,-9.47,-25.64,0.77,-4.69,0,-80.93
(주)TCC스틸,002710,2021/12,18.3,6.89,-1.38,-4.58,49.57,36.41,29.87,26.1,0,859.31
(주)TCC스틸,002710,2022/12,40.41,138.92,-1.4,49.64,32.35,53.39,36.08,29.31,-19.89,85.29
(주)강원랜드,035250,2011/12,4.37,5.61,0,0.83,9.95,13.87,8.09,-3.79,-9.45,-11.17
(주)강원랜드,035250,2012/12,6.78,2.46,0,11.43,0.06,-46.54,4.61,2.31,-24.63,-16.82
(주)강원랜드,035250,2013/12,6.52,-0.53,0,15.26,-7.55,24.38,5.91,4.95,-1.14,-4.37
(주)강원랜드,035250,2014/12,8.86,-3.18,0,-2.01,30.65,-19.31,7.62,9.98,24.11,32.05
(주)강원랜드,035250,2015/12,9.1,-2.43,0,-3.89,28.64,34.59,10.36,9.29,18.32,14.74
(주)강원랜드,035250,2016/12,7.81,0.04,0,11.53,3.62,-19.25,8.52,3.9,5.7,3.48
(주)강원랜드,035250,2017/12,5.19,-0.06,0,-6.9,19.83,-0.76,7.63,-5.41,-3.93,-14.25
(주)강원랜드,035250,2018/12,1.13,3.64,0,22.37,-18.85,-12.01,2.45,-10.41,-31.98,-18.84
(주)강원랜드,035250,2019/12,4.89,4.21,0,3.55,6.79,217.54,3.68,5.68,12.88,15.61
(주)강원랜드,035250,2020/12,-18.04,-1.14,0,-16.29,-20.46,-40.62,-12.74,-68.54,0,0
(주)강원랜드,035250,2021/12,5,-3.33,0,1.15,10.56,57.72,0.14,64.9,0,0
(주)강원랜드,035250,2022/12,8.91,-3.56,0,36.3,-27.36,18.33,5,61.22,0,0
(주)갤럭시아에스엠,011420,2011/12,13.72,-37.12,0,1.82,35.03,0,8.59,-25.23,128.39,138
(주)갤럭시아에스엠,011420,2012/12,-1.33,-7.45,0,-20.88,25.07,0,2.5,17.12,-92.54,-68.96
(주)갤럭시아에스엠,011420,2013/12,-14.96,5.67,0,-0.14,-27.63,0,-10.66,-17.37,0,-59.2
(주)갤럭시아에스엠,011420,2014/12,18.65,-34.09,0,0.75,39.73,0,4.14,6.87,0,0
(주)갤럭시아에스엠,011420,2015/12,65.8,152.09,0,43.5,84.76,0,116.5,62.85,0,0
(주)갤럭시아에스엠,011420,2016/12,-16.92,9.21,0,-16.47,-17.22,0,-11.48,-15.1,0,0
(주)갤럭시아에스엠,011420,2017/12,-12.3,-25.55,0,5.01,-23.83,0,-9.71,-19.16,0,0
(주)갤럭시아에스엠,011420,2018/12,-31.91,-27.82,0,-18.84,-43.9,0,-33.82,-40.33,0,0
(주)갤럭시아에스엠,011420,2019/12,-15.29,103.49,0,-23.26,-4.7,0,-18.65,30.42,0,0
(주)갤럭시아에스엠,011420,2020/12,1.11,442.17,0,-2.27,4.73,0,-4.95,-32,0,0
(주)갤럭시아에스엠,011420,2021/12,43.24,23.79,0,72.54,13.98,0,59.51,47.9,274.19,151.06
(주)갤럭시아에스엠,011420,2022/12,41.47,-50.27,0,79.03,-15.29,51.9,0.86,4.13,25.3,20.92
(주)경농,002100,2011/12,-11.09,-2.93,158.13,5.33,-23.68,-1.88,-1.57,-15.6,-66.75,-42.73
(주)경농,002100,2012/12,15.12,9.17,-15.9,26.03,3.58,-0.43,3.76,8.53,108.93,70.38
(주)경농,002100,2013/12,5.66,7.05,-70.42,8.74,1.71,0.8,7.39,6.27,108.68,17.23
(주)경농,002100,2014/12,7.39,10.27,-3.38,11.41,1.85,-0.43,3.87,-3.18,-32.58,-14.42
(주)경농,002100,2015/12,14.83,0.2,180.69,11.23,20.25,20.49,2.4,2.08,-30.01,-35.02
(주)경농,002100,2016/12,0.57,0.2,-2.56,-0.65,2.27,5.99,2.12,4.07,-11.06,-20.79
(주)경농,002100,2017/12,0.88,0.15,-1.8,0.67,1.17,2.73,3.53,-0.02,99.95,25.65
(주)경농,002100,2018/12,5.97,11.04,17.87,4.17,8.4,-0.29,2.25,2.12,-16.69,67.19
(주)경농,002100,2019/12,4.27,-5.44,14.03,-1.39,11.59,10.94,2.05,3.51,-26.54,-22.6
(주)경농,002100,2020/12,0.64,-1.28,-13.55,-4.88,6.95,5.09,3.34,9.46,48.11,0.91
(주)경농,002100,2021/12,4.62,32.38,-1.32,10.09,-0.93,-8.57,8.56,5.5,134,24.09
(주)경농,002100,2022/12,9.32,6.41,-4.58,1.34,18.34,6.88,5.49,15.92,-23.6,82.29
(주)경동나비엔,009450,2011/12,11.16,8.93,-7.32,10.45,11.9,24.71,4.76,14.37,58.65,54.01
(주)경동나비엔,009450,2012/12,13.48,20.35,-1.84,14.86,12.05,-18.6,6.24,7.25,-2.44,-7.87
(주)경동나비엔,009450,2013/12,18.4,72.9,-5.07,49.58,-14.85,10.4,6.11,8.87,0.4,27.65
(주)경동나비엔,009450,2014/12,9.82,-10.51,629.88,0.2,27.85,9.48,4.02,2.9,-1.83,8.66
(주)경동나비엔,009450,2015/12,-1.88,0.82,-2.27,-0.99,-3.21,-4.21,10.25,17.24,112.73,29.36
(주)경동나비엔,009450,2016/12,7.02,3.15,-2.33,3.44,12.38,4.82,13.49,12.89,48.21,75.83
(주)경동나비엔,009450,2017/12,12.59,3.85,-2.38,6.86,20.51,38.63,5.63,12.59,-43.11,-12.45
(주)경동나비엔,009450,2018/12,12.55,9.64,-0.74,7.19,19.12,31.42,8.25,8.47,40.06,-8.38
(주)경동나비엔,009450,2019/12,4.79,5.2,-2.49,7.12,2.22,-11.52,5.91,6.04,-10.27,33.63
(주)경동나비엔,009450,2020/12,16.01,14.68,-47.52,7.33,26.05,45.14,10.56,13.87,-7.75,15.97
(주)경동나비엔,009450,2021/12,24.65,13.38,-19.42,19.91,29.32,34.55,28.24,27.44,229.72,1.73
(주)경동나비엔,009450,2022/12,7.29,8.34,44.58,11.82,3.15,27.09,12.81,2.99,-29.84,26.92
(주)경동도시가스,267290,2017/12,,,,,,,,,,
(주)경동도시가스,267290,2018/12,0,0,0,0,0,0,0,0,0,0
(주)경동도시가스,267290,2019/12,-3.66,1.65,0,6.24,-11.15,2.6,5.94,-11.45,-28.33,-35.66
(주)경동도시가스,267290,2020/12,-6.73,-1.18,0,4.59,-16.96,-6.8,5.08,-23.62,-22.75,-35.5
(주)경동도시가스,267290,2021/12,29.35,0.43,0,0.81,61.88,13.42,5.3,34.1,17.99,50.28
(주)경동도시가스,267290,2022/12,18.05,0.31,0,0.88,30.23,21.75,5.05,58.22,5.81,-6.62
(주)경동인베스트,012320,2011/12,24.45,6.28,-12.74,9.83,36.63,-7.82,13.05,40.11,20.57,18.69
(주)경동인베스트,012320,2012/12,24.14,5.37,-99.54,10,33.62,28.06,13.56,33.09,13.71,-7.96
(주)경동인베스트,012320,2013/12,-0.6,4.96,0,5.3,-3.85,-29.23,10.22,10.83,-18.74,-9.35
(주)경동인베스트,012320,2014/12,-5.2,2.02,0,7.41,-12.81,33.59,8.51,-9.93,-3.06,-18.96
(주)경동인베스트,012320,2015/12,-15.86,5.96,0,-0.64,-27.19,-5.51,-2.19,-43.63,0,-51.38
(주)경동인베스트,012320,2016/12,-2.44,1.05,0,9.04,-14.1,6.06,1.41,-24.51,0,27.97
(주)경동인베스트,012320,2017/12,-64.81,-96.99,0,-59.31,-71.9,0,-44.31,-99.94,-55.68,0
(주)경동인베스트,012320,2018/12,0.23,25.53,0,32.33,-59.67,0,0.2,1118.23,-78.27,0
(주)경동인베스트,012320,2019/12,-0.69,-76.93,0,-0.77,-0.2,100.9,-0.68,15.82,0,0
(주)경동인베스트,012320,2020/12,-3.03,-2.38,-2.46,-0.03,-21.31,-8.66,-0.9,-10.88,0,0
(주)경동인베스트,012320,2021/12,-0.31,49.61,-28.87,-0.97,4.81,-21.22,-0.23,15.14,-72.72,32.13
(주)경동인베스트,012320,2022/12,-3.02,1.71,-2.59,-3.3,-1.03,63.75,-3.1,29.52,0,248.95
(주)경방,000050,2011/12,1.78,3,-1.19,-0.08,24.34,80.04,-0.51,-0.71,0,-56.99
(주)경방,000050,2012/12,-2.27,-1.93,-1.86,-0.67,-17.83,-29.57,-1.02,-3.75,0,-61.5
(주)경방,000050,2013/12,-3.11,-6.99,0.23,-1.52,-21.85,-29.22,2.36,-0.24,0,335.67
(주)경방,000050,2014/12,1.09,-3.99,0.25,0.81,5.26,-2.77,-4.96,-2.95,-5.75,-10.6
(주)경방,000050,2015/12,-1.22,-4.16,-1.29,-1.31,0.11,8.61,3.1,19.75,51.76,20.36
(주)경방,000050,2016/12,-1.79,-3.7,-1.3,-1.64,-3.85,-10.48,2.75,1.99,43.38,10.22
(주)경방,000050,2017/12,-3.07,-7.75,-1.26,-2.5,-11.26,-33.22,3,-8.21,-17.1,-7.44
(주)경방,000050,2018/12,2.29,-6.58,-1.13,0.96,23.35,58.28,2.56,-3.13,13.7,-1.11
(주)경방,000050,2019/12,5.68,-69.74,5.71,-5.79,153.86,-60.76,1.58,-9.15,-23.89,-0.01
(주)경방,000050,2020/12,-6.47,-36.42,-4.87,6.78,-69.95,-67.1,2.53,-10.84,17.04,-34.89
(주)경방,000050,2021/12,0.15,-23.56,-1.56,0.2,-0.72,126.53,0.95,20.2,-10.4,13.04
(주)경방,000050,2022/12,-6.09,-14.87,-1.96,-5.15,-22.21,-27.63,-0.98,-0.71,0,28.66
(주)경보제약,214390,2011/12,,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,,
(주)경보제약,214390,2013/12,0,0,0,0,0,0,0,0,0,0
(주)경보제약,214390,2014/12,17.19,26.23,0,20.08,15.19,33.87,3.19,4.66,-52.09,5.55
(주)경보제약,214390,2015/12,16.34,35.46,0,28.09,7.83,14.88,79.74,4.86,202.34,-7.36
(주)경보제약,214390,2016/12,4.22,12.09,0,12.31,-2.74,-3.94,5.36,4.88,-51.34,-39.16
(주)경보제약,214390,2017/12,0.56,-6.49,0,-7.17,8.23,0.83,9.36,2.64,41.38,57.67
(주)경보제약,214390,2018/12,8.18,-2.55,0,-1.64,16.54,11.53,5.3,5.05,-26.98,-29.77
(주)경보제약,214390,2019/12,7.31,15.19,0,22.61,-3.69,16.48,0.1,-4.79,-59.7,-64.13
(주)경보제약,214390,2020/12,6.49,0.48,0,1.24,11.29,-0.22,4.62,12.3,77.94,39.83
(주)경보제약,214390,2021/12,-6.42,6.97,0,9.36,-19.56,-7.24,-6.64,-20.73,0,0
(주)경보제약,214390,2022/12,1.5,-1.22,0,-1.27,4.64,-0.39,-1.37,15,0,0
(주)경인양행,012610,2011/12,-1.99,1.46,-18.35,0.35,-5.25,-0.81,0.76,-13.62,-17.18,167.74
(주)경인양행,012610,2012/12,-1.94,-3.13,35.31,-0.32,-4.36,-24.7,2.03,9.79,60.49,60.26
(주)경인양행,012610,2013/12,13.91,7.47,-17.57,3.49,30,56.71,9.85,29.58,175.44,301.69
(주)경인양행,012610,2014/12,-2.64,7.65,-0.56,5.73,-12.93,-5.38,4.69,3.98,-26.26,-9.17
(주)경인양행,012610,2015/12,2.41,-2.13,-0.57,0.31,5.55,8.76,-0.28,-8.08,-98.82,-99.32
(주)경인양행,012610,2016/12,5.94,2.36,-0.57,1.91,11.66,5.94,2.75,2.43,3370.58,2843.16
(주)경인양행,012610,2017/12,2.37,11,-0.57,5,-1.03,-3.34,-0.09,8.2,-85.74,-92.76
(주)경인양행,012610,2018/12,16.17,4.8,-0.58,4.59,32.07,34.67,3.87,14.79,1296.59,7421.82
(주)경인양행,012610,2019/12,10.48,31.81,-0.58,15.97,4.51,17.28,1.44,10.14,-35.34,18.38
(주)경인양행,012610,2020/12,1.32,13.77,-0.58,6.44,-4.86,-25.57,-4.73,-12.59,0,0
(주)경인양행,012610,2021/12,19.69,3.68,-0.59,2.48,42.94,27.58,8.73,28.85,0,0
(주)경인양행,012610,2022/12,-13.94,4.82,-0.59,1.49,-28.88,16.53,2.37,-10.95,-57.4,-32.15
(주)광명전기,017040,2011/12,9.3,8.09,1.94,3.44,15.72,-1.44,8.73,-15.07,0,-31.82
(주)광명전기,017040,2012/12,4.23,1.6,-8.45,-10.09,18.25,49.68,-3.25,36.83,0,140.34
(주)광명전기,017040,2013/12,1.21,-3.46,-9.28,-6.93,7.28,-7.77,10.26,13.9,0,136.76
(주)광명전기,017040,2014/12,13.56,12.72,-0.79,3.72,19.92,19.83,11.1,28.18,31.64,21.63
(주)광명전기,017040,2015/12,-10.08,-2.24,-1.95,4.03,-17.96,-26.3,5.53,-19.69,-50.67,-62.61
(주)광명전기,017040,2016/12,16.42,-2.14,-0.78,41.6,-1.42,-16.47,21.13,4.23,353.52,-0.54
(주)광명전기,017040,2017/12,2.77,27.01,-0.79,1.48,4.09,3,-1.05,8.41,0,-1.68
(주)광명전기,017040,2018/12,-3.66,37.91,-35.44,-0.03,-7.27,19.12,3,-7.74,0,-20.88
(주)광명전기,017040,2019/12,13.24,-2.28,-0.65,-1.18,28.66,-29.34,7.04,28.94,103.31,146.15
(주)광명전기,017040,2020/12,6.39,14.21,-92.92,-11.08,20.76,59.35,5,-9.98,-24.39,-35.32
(주)광명전기,017040,2021/12,0.71,-1.27,2.74,-7.59,5.74,38.59,4.14,9.08,-6.2,-50.86
(주)광명전기,017040,2022/12,2,20.54,-1.92,10.79,-2.65,-7.82,1.96,6.09,-9.49,86.72
(주)광주신세계,037710,2011/12,16.28,-0.88,0,-0.39,25.98,34.23,19.1,5.69,17.89,16.3
(주)광주신세계,037710,2012/12,13.11,23.59,0,19.22,10.3,-6.29,16.57,-2.65,2.85,-1.21
(주)광주신세계,037710,2013/12,52.41,-4.05,0,341.08,-91.01,-4.79,13.02,-3.37,-9.67,-3.79
(주)광주신세계,037710,2014/12,-0.55,-0.98,0,-0.36,-5.07,6.79,9.77,-0.86,-13.04,-7.41
(주)광주신세계,037710,2015/12,1.03,-0.66,0,-0.35,36.43,8.43,9.53,0.25,8.68,5.67
(주)광주신세계,037710,2016/12,-0.61,-1.72,0,-0.46,-3.24,6.75,8.73,2.48,-0.76,2.33
(주)광주신세계,037710,2017/12,-0.07,-0.75,0,-0.21,2.52,-1.36,8.44,-0.37,5.03,0.43
(주)광주신세계,037710,2018/12,6.29,-0.97,0,-0.49,133.14,-51.31,7.13,-35.5,-5.75,-11.05
(주)광주신세계,037710,2019/12,8.07,136.68,0,4.94,33.1,6.45,6.53,14.54,5.71,10.05
(주)광주신세계,037710,2020/12,4.25,-6.09,-8.67,-1.12,38.06,3.6,5.61,-4.76,-9.46,-12.33
(주)광주신세계,037710,2021/12,8.65,-5.03,-9.49,-0.5,49.91,-19.08,6.81,15.23,21.39,25.43
(주)광주신세계,037710,2022/12,7.18,5.64,-10.48,3.65,17.74,26.07,5.91,8.77,8.69,8.24
(주)국동,005320,2011/12,-25.83,-44.58,0,-35.36,-15.04,-37.54,-83.1,-9.5,0,0
