회사명,거래소코드,회계년도,매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),기업순이익률(IFRS연결),R & D 투자효율(IFRS연결),금융비용 대 총비용비율(IFRS연결),이자부담률(IFRS연결),1주당매출액(IFRS연결),1주당순이익(IFRS연결),1주당 CASH FLOW(IFRS연결),1주당정상영업이익(IFRS연결)
(주)HJ중공업,097230,2017/12,0.87,-11.34,-5.87,-37.73,99.13,104.76,0.02,-3.78,0.35,3.56,2.49,23123.58,-2622,3634.62,-1100.33
(주)HJ중공업,097230,2018/12,8.29,-75.6,-36.99,0,91.71,96.37,0.03,-34.38,0.35,4.97,2.56,16009.7,0,3962.14,581.56
(주)HJ중공업,097230,2019/12,10.9,18.8,11.77,0,89.1,94.85,0.03,15.78,0.34,6.16,3.68,18223.9,5185,1744.73,938.06
(주)HJ중공업,097230,2020/12,7.69,4.62,3.36,27.71,92.31,96.96,0.03,5.51,0.37,2.9,2.45,20364.21,940,3175.7,619.99
(주)HJ중공업,097230,2021/12,-1.2,-8.19,-6.11,-37.18,101.2,106.39,0.05,-4.35,0.52,2.13,2.11,20492.91,-1679,-1328.54,-1308.82
(주)HJ중공업,097230,2022/12,5.4,-2.81,-2.03,-12.28,94.6,99.63,0.12,-0.42,0.27,2.14,1.92,21473.17,-602,1015.62,79.56
(주)MH에탄올,023150,2011/12,16.81,-9.73,-3.24,-9.74,83.19,99.07,0.01,-0.3,0,7.9,4.4,6397.88,-611,25.55,86.18
(주)MH에탄올,023150,2012/12,17.97,0.48,0.21,1.01,82.03,90.88,0.01,3.56,0,7.46,4.82,8538.31,59,-700.89,778.82
(주)MH에탄올,023150,2013/12,12.67,11.3,5.32,16.85,87.33,95.16,0.01,7.71,0,5,3.53,8885.7,1022,873.44,429.96
(주)MH에탄올,023150,2014/12,24.24,-0.41,-0.19,-0.38,75.76,82.15,0.14,0.93,0,2.66,2.07,6638.69,-26,699.22,1185.18
(주)MH에탄올,023150,2015/12,27.71,15.44,9.46,14.06,72.29,77.99,0.01,10.17,0,1.43,2.19,6828.76,1063,1813.92,1503.28
(주)MH에탄올,023150,2016/12,30.54,16.66,10.76,13.41,69.46,75.72,0,11.15,0,0.76,1.97,6626.94,1129,1659.66,1609.33
(주)MH에탄올,023150,2017/12,28.38,8.29,1.5,10.42,71.62,84.38,0,1.24,0,-1.46,-0.38,7044.38,942,452.24,1100.05
(주)MH에탄올,023150,2018/12,26.47,-16.53,-2.56,-0.93,73.53,98.31,0.03,-0.24,0,12.86,2.94,9865.91,-87,-1527.36,166.46
(주)MH에탄올,023150,2019/12,32.96,-9.34,-1.69,-0.88,67.04,90.32,0.03,0.62,0,11.96,2.86,10961.45,-79,1540.81,1061.07
(주)MH에탄올,023150,2020/12,36.79,4.02,0.84,11.49,63.21,83.33,0.04,3.47,0,12.94,3.2,12827.12,1049,2573.11,2138.9
(주)MH에탄올,023150,2021/12,42.97,8.51,1.93,9.52,57.03,77.14,0.04,4.56,0,12.88,3.22,13832.97,908,3574.08,3162.6
(주)MH에탄올,023150,2022/12,39.07,10.75,2.65,7.71,60.93,80.2,0.02,5.11,0,10.83,3.08,15006.03,766,2233.15,2971.45
(주)SH에너지화학,002360,2011/12,7.17,1.04,1.8,3.31,92.83,97.96,0.01,3.12,0,0.78,3.61,1553.73,18.6,52.25,37.37
(주)SH에너지화학,002360,2012/12,7.8,0.11,0.2,0.61,92.2,98.87,0.02,1.41,0,0.65,3.21,1743.64,3.5,-7.69,19.63
(주)SH에너지화학,002360,2013/12,7.74,1.99,4.3,7.35,92.26,97.23,0.01,5.42,0,0.53,3.01,2086.67,43.5,53.53,57.8
(주)SH에너지화학,002360,2014/12,14.4,7.25,15.13,21.7,85.6,90.79,0.01,15.84,0,0.37,2.33,2077.67,147.2,222.69,191.4
(주)SH에너지화학,002360,2015/12,17.24,5.82,11.13,14.62,82.76,89.4,0,11.31,0,0.1,0.81,1947.47,113.4,221.62,206.5
(주)SH에너지화학,002360,2016/12,17.69,8.26,15.02,18.66,82.31,88.96,0,14.89,0,-0.08,-0.7,1965.07,161.6,105.14,216.85
(주)SH에너지화학,002360,2017/12,13.98,5.25,7.91,9.21,86.02,92.46,0,7.77,0,-0.1,-0.95,1692.59,86.3,127.84,127.6
(주)SH에너지화학,002360,2018/12,6.68,1.11,1.64,2.21,93.32,98.86,0,1.48,0,-0.11,-1.16,1651.96,20.8,46.81,18.9
(주)SH에너지화학,002360,2019/12,4.73,-2.19,-2.51,-2.84,95.27,102.22,0,-2.75,0,-0.2,-1.37,1267.34,-25.8,144.7,-28.17
(주)SH에너지화학,002360,2020/12,1.16,-7.42,-5.77,-7.29,98.84,108.39,0,-5.86,0,-0.11,-0.43,842.04,-61.9,37.91,-70.65
(주)SH에너지화학,002360,2021/12,7.1,0.44,0.52,0.69,92.9,99.75,0,0.43,0,-0.07,-0.36,1257.89,5.7,-34.09,3.08
(주)SH에너지화학,002360,2022/12,6.55,1.09,1.5,1.99,93.45,99.52,0,1.31,0,-0.14,-0.83,1505.81,16.8,-21.08,7.25
(주)SIMPAC,009160,2011/12,20.87,11.6,8.61,15.9,79.13,87.48,0.04,8.39,0,-0.33,-0.48,7404.72,925,633.56,940.22
(주)SIMPAC,009160,2012/12,18.86,8.56,6.13,10.81,81.14,88.82,0.22,5.45,0,-1.1,-1.57,7748.11,714,452.36,866.13
(주)SIMPAC,009160,2013/12,20.1,9.74,5.89,10.11,79.9,88.53,0.05,4.99,0,-1.65,-2.16,7074.15,742,414.67,811.39
(주)SIMPAC,009160,2014/12,16.37,5.44,3.85,6.7,83.63,93.41,0.09,4.22,0,0.51,0.88,9047.72,530,1184.25,596.25
(주)SIMPAC,009160,2015/12,17.85,6.1,4.09,7.29,82.15,92.12,0.12,4.38,0,0.47,0.67,9266.93,608,352.64,730.31
(주)SIMPAC,009160,2016/12,18.48,6.06,3.85,6.85,81.52,91.18,0.08,4.12,0,0.44,0.61,9182.56,603,1211.82,810.25
(주)SIMPAC,009160,2017/12,16.31,5.59,3.23,5.36,83.69,94.93,0.12,3.44,0,0.37,0.53,7929.7,509,-328.13,402.2
(주)SIMPAC,009160,2018/12,11.16,22.6,13.02,20.48,88.84,96.67,0.11,13.31,0,0.51,0.79,10526.1,1678,1284.52,350.37
(주)SIMPAC,009160,2019/12,10.41,2.21,1.39,2.17,89.59,97.41,0.07,1.61,0,0.35,0.62,6573.26,157,572.68,170.28
(주)SIMPAC,009160,2020/12,10.3,9.33,4.82,7.54,89.7,97.87,0.05,5.13,0,0.59,0.86,5591.72,586,-260.48,119.02
(주)SIMPAC,009160,2021/12,26.01,14.82,11.07,17.98,73.99,82.64,0.02,11,0,-0.11,-0.18,9369.06,1621,974.29,1626.2
(주)SIMPAC,009160,2022/12,26.13,11.33,8.15,13.28,73.87,82.31,0.02,8.23,0,0.13,0.22,10274.09,1381,45.43,1817.93
(주)SNT에너지,100840,2011/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,,,,,,,,,,
(주)SNT에너지,100840,2019/12,16.73,7.24,4.63,6.31,83.27,91.81,0.02,4.31,0,-0.53,-1.18,28418.13,2148,-5337.2,2327.72
(주)SNT에너지,100840,2020/12,16.89,4.12,2.92,4.07,83.11,90.26,0.02,2.89,0,-0.05,-0.13,31625,1414,9370.44,3080.71
(주)SNT에너지,100840,2021/12,16.79,7.31,3.76,5.11,83.21,92.24,0.04,3.75,0,-0.04,-0.07,22791.35,1957,3977.75,1769.21
(주)SNT에너지,100840,2022/12,10.9,7.44,3.96,6.04,89.1,98.24,0.01,3.33,0,-1.12,-1.86,27026.3,2292,3851.27,474.43
(주)SNT홀딩스,036530,2011/12,12.89,5.24,4.19,6.88,87.11,95.29,0.17,4.18,0,-0.01,-0.01,111492.25,2132,5828.54,8074.87
(주)SNT홀딩스,036530,2012/12,12.2,3.79,3.01,5.6,87.8,94.86,0.18,2.92,0,-0.11,-0.24,111820.85,1870,3840.32,5742.22
(주)SNT홀딩스,036530,2013/12,12.51,3.41,2.55,4.41,87.49,94.62,0.18,2.4,0,-0.19,-0.39,105630.49,1542,6310.5,5682.21
(주)SNT홀딩스,036530,2014/12,11.1,4.32,3.2,5.51,88.9,95.78,0.08,3.02,0,-0.24,-0.5,104022.7,1999,6384.5,4389.41
(주)SNT홀딩스,036530,2015/12,17.45,7.22,5.53,5.75,82.55,89.98,0.06,5.32,0,-0.31,-0.69,104927.71,2141,7824.51,10509.62
(주)SNT홀딩스,036530,2016/12,13.08,0.66,0.46,0.47,86.92,95.3,0.06,0.25,0,-0.3,-0.7,97137.72,174,9088.11,4566.18
(주)SNT홀딩스,036530,2017/12,13.58,1.71,1.19,1.14,86.42,95.98,0.07,0.98,0,-0.3,-0.7,95271.14,430,6582.95,3830.5
(주)SNT홀딩스,036530,2018/12,12.86,5.26,3.46,4.36,87.14,94.82,0.09,3.14,0,-0.5,-1.09,85949.29,1701,7908.72,4456
(주)SNT홀딩스,036530,2019/12,15.07,8.23,5.72,8.78,84.93,91.65,0.11,5.3,0,-0.65,-1.51,92745.65,4072,5470.22,7745.21
(주)SNT홀딩스,036530,2020/12,14.53,5.42,3.46,4.62,85.47,91.15,0.1,3.18,0,-0.45,-0.97,88062.12,2533,16026.39,7794.84
(주)SNT홀딩스,036530,2021/12,15.21,10.81,6.4,8.13,84.79,91.06,0.15,6,0,-0.73,-1.62,86118.86,5329,5520.8,7701.67
(주)SNT홀딩스,036530,2022/12,15.58,7.09,4.69,5.31,84.42,91.12,0.11,3.85,0,-1.34,-3.1,99946.78,3556,9845.57,8874.75
(주)STX,011810,2011/12,7.57,3.73,3.93,14.56,92.43,96.07,0.31,6.08,0,2,3.14,99556.2,4089,930.9,3913.85
(주)STX,011810,2012/12,-3.15,-7.97,-9.53,-35.59,103.15,106.67,0.17,-7.4,0,1.59,3.19,101994.13,-8599,4150,-6802.16
(주)STX,011810,2013/12,-28.23,-65.14,-49.79,-521.17,128.23,139.27,0.2,-47.49,0,1.6,2.73,39841.76,-26644,2127.24,-15644.17
(주)STX,011810,2014/12,7.42,23.28,29.3,0,92.58,97.82,0.01,32.06,0,1.94,2.37,7247.4,15611,-337.39,158.24
(주)STX,011810,2015/12,2.74,-3,-3.88,-59.01,97.26,102.1,0.02,-1.52,0,1.6,2.53,54621.31,-1642,-534.21,-1144.46
(주)STX,011810,2016/12,4.93,-26.59,-46.33,0,95.07,101.99,0,-42.96,0,1.44,2.98,54931.92,-14597,1846.86,-1091.16
(주)STX,011810,2017/12,4.73,18.54,50.09,0,95.27,97.56,0.01,52.98,0,0.99,2.38,11346.76,20985,630.88,277.1
(주)STX,011810,2018/12,1.33,0.61,1.54,17.12,98.67,100.98,0.01,3.36,0,0.67,2,78552.83,471,-2514.66,-772.37
(주)STX,011810,2019/12,3.16,-2.26,-5.96,-54.53,96.84,99.88,0.01,-3.72,0,0.79,2.52,74576.54,-1664,26.77,88.61
(주)STX,011810,2020/12,4.14,-2.1,-3.47,-48.03,95.86,100.05,0,-1.73,0,0.94,1.97,49453.63,-1032,2935.84,-24.99
(주)STX,011810,2021/12,5.98,-2.52,-3.6,-32.13,94.02,99.02,0.01,-2.2,0,0.92,1.67,37797.95,-696,-511.65,369.2
(주)STX,011810,2022/12,4.01,-1.57,-2.63,-23.17,95.99,100.16,0.01,-0.69,0,1.05,2.31,41527.42,-491,-2954.85,-68.31
(주)TCC스틸,002710,2011/12,8.19,0.89,1.05,2.02,91.81,98.43,0.02,2.66,0,1.34,3.35,32151.5,312,-640.37,713.84
(주)TCC스틸,002710,2012/12,8.66,0.02,0.02,0.07,91.34,98.82,0.05,1.81,0,1.73,3.25,29490.44,0,-271.2,349.06
(주)TCC스틸,002710,2013/12,5.34,-3.98,-3.66,-8.85,94.66,101.55,0.03,-1.61,0,2.09,3.4,27824.04,0,-1623.34,-430.32
(주)TCC스틸,002710,2014/12,6.82,-3.05,-2.89,-7.71,93.18,99.93,0.03,-0.69,0,2.21,3.43,27315.54,0,-1128.44,18.13
(주)TCC스틸,002710,2015/12,8.85,-22.23,-23.77,-80.07,91.15,96.8,0,-22.45,0,1.18,1.88,24291.05,0,1472.16,776.81
(주)TCC스틸,002710,2016/12,9.35,3.81,5.14,17.99,90.65,96.55,0,6.67,0,1.11,2.15,19892.74,807,-1578.75,687.08
(주)TCC스틸,002710,2017/12,8.79,0.38,0.54,1.5,91.21,97.93,0,1.69,0,0.82,1.82,17516.84,0,-52.32,362.83
(주)TCC스틸,002710,2018/12,8.54,2.36,3.34,9.19,91.46,95.87,0,4.32,0,0.69,1.54,18492.84,0,961.93,764.49
(주)TCC스틸,002710,2019/12,7.22,1.15,1.63,4.42,92.78,97.06,0.01,2.8,0,0.83,1.87,19566.92,237,-301.97,575.41
(주)TCC스틸,002710,2020/12,4.74,-0.39,-0.54,-1.3,95.26,99.78,0,0.96,0,1.05,2.44,18773.82,-68,-243.13,42.21
(주)TCC스틸,002710,2021/12,9.11,5.35,8.53,21.49,90.89,95.23,0.01,9.8,0,0.81,2.15,22836.22,1242,324.71,1089.26
(주)TCC스틸,002710,2022/12,11.51,4.32,6.76,16.54,88.49,93.57,0.01,8.22,0,0.94,2.49,27549.29,1239,-484.55,1770.43
(주)강원랜드,035250,2011/12,57.46,30.12,14.33,17.5,42.54,61.85,1.41,12.85,0,-4.86,-8.18,5916.07,1875,1953.01,2283.54
(주)강원랜드,035250,2012/12,50.02,23.63,10.9,13.23,49.98,68.76,1.59,9.26,0,-4.94,-9.3,6058.65,1509,2087.21,1892.43
(주)강원랜드,035250,2013/12,46.66,21.86,9.91,12.17,53.34,71.49,1.4,8.53,0,-4.17,-7.36,6362.92,1468,1983.76,1813.78
(주)강원랜드,035250,2014/12,51.74,24.01,11.1,13.76,48.26,65.71,0.89,9.71,0,-4.44,-7.17,6995.13,1772,2385.77,2398.67
(주)강원랜드,035250,2015/12,53.5,27.03,12.5,15.49,46.5,63.56,0.61,11.35,0,-3.75,-5.98,7636.31,2178,2687.58,2783.02
(주)강원랜드,035250,2016/12,53.72,26.79,11.85,14.55,46.28,63.54,0.88,10.84,0,-3.39,-5.46,7929.93,2242,2788.1,2891.53
(주)강원랜드,035250,2017/12,50.92,27.27,10.72,12.96,49.08,66.91,0.84,9.8,0,-3.37,-5.3,7499.61,2159,2164.39,2481.52
(주)강원랜드,035250,2018/12,49.27,20.67,7.06,8.39,50.73,70.05,2.09,6.02,0,-4.05,-6.59,6721.77,1467,1701.03,2013.18
(주)강원랜드,035250,2019/12,51.54,22.02,7.72,9.16,48.46,67.03,1.1,6.76,0,-3.71,-6.1,7105.16,1651,1906.46,2342.49
(주)강원랜드,035250,2020/12,-13.77,-57.65,-6.83,-7.92,113.77,190.18,1.85,-7.45,0,-2.64,-4.53,2236.97,-1361,-3064.76,-2017.31
(주)강원랜드,035250,2021/12,7.82,-1.34,-0.28,-0.33,92.18,106.68,0.83,-0.59,0,-1.29,-2.33,3685.29,-52,985.67,-246.31
(주)강원랜드,035250,2022/12,27.46,9.1,2.89,3.47,72.54,82.88,1.06,2.24,0,-2.3,-3.94,5939.44,570,1963.97,1016.94
(주)갤럭시아에스엠,011420,2011/12,18.25,6.15,6.45,12.95,81.75,95.7,0.09,7.47,0,0.99,2.32,2412.11,157,303.3,263.21
(주)갤럭시아에스엠,011420,2012/12,13.61,0.71,0.88,1.49,86.39,96.23,0.12,1.58,0,0.55,1.69,2805.45,19,142.77,105.71
(주)갤럭시아에스엠,011420,2013/12,10.06,-3.74,-4.26,-7.07,89.94,98.39,0.03,-3.9,0,0.3,0.85,2366.54,-83,230.71,38.08
(주)갤럭시아에스엠,011420,2014/12,8.36,-0.58,-0.62,-1.14,91.64,100.96,0,0.12,0,0.66,1.6,2236.52,-13,-3.59,-21.57
(주)갤럭시아에스엠,011420,2015/12,10.35,2.98,3.27,5.11,89.65,96.64,0.07,3.53,0,0.24,0.73,2827.82,85,110.97,95.1
(주)갤럭시아에스엠,011420,2016/12,1.8,-2.97,-2.46,-3.3,98.2,107.06,0,-2.58,0,-0.14,-0.48,1910.24,-57,-43.4,-134.81
(주)갤럭시아에스엠,011420,2017/12,-0.41,-15.82,-10.9,-13.83,100.41,109.51,0,-10.92,0,-0.03,-0.1,1353.24,-214,-268.22,-128.7
(주)갤럭시아에스엠,011420,2018/12,-24.33,-72.54,-38.52,-47.79,124.33,146.86,0,-38.61,0,-0.1,-0.46,800.75,-581,-101.99,-375.24
(주)갤럭시아에스엠,011420,2019/12,6.25,-4.79,-4.47,-5.7,93.75,101.59,0,-4.78,0,-0.31,-1.43,1042.94,-50,32.8,-16.57
(주)갤럭시아에스엠,011420,2020/12,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,011420,2022/12,,,,,,,,,,,,,,,
(주)경농,002100,2011/12,34.67,0.42,0.29,0.36,65.33,94.14,3.4,0.86,0,0.79,3.18,5589.85,29,652.92,353.9
(주)경농,002100,2012/12,36.03,7.53,3.83,7.43,63.97,90.71,2.72,4.5,0,1.32,1.55,6314.4,632,405.54,586.91
(주)경농,002100,2013/12,34.22,7.1,5.31,8.89,65.78,90.43,2.61,6.62,0,1.83,3.26,9052.24,782,855.78,865.93
(주)경농,002100,2014/12,34.86,3.77,2.63,4.73,65.14,92.23,2.73,3.63,0,1.49,2.61,8689.16,435,677.98,675.55
(주)경농,002100,2015/12,35.29,3.55,2.32,4.13,64.71,93.83,2.82,3.27,0,1.47,2.22,9055,380,-454.28,558.35
(주)경농,002100,2016/12,33.64,3.12,2,3.86,66.36,95.51,2.75,2.77,0,1.21,1.76,9403.8,365,737.43,422.67
(주)경농,002100,2017/12,32.77,4.88,3.07,5.83,67.23,95.91,2.75,3.95,0,1.41,2.07,9521.33,568,729.09,389.45
(주)경농,002100,2018/12,34.21,2.29,1.41,3.08,65.79,93.05,2.73,2.19,0,1.32,1.82,9803.48,310,489,680.89
(주)경농,002100,2019/12,32.71,1.76,1.1,2.47,67.29,96.18,2.77,2.11,0,1.62,2.25,10488.36,254,-47.03,400.65
(주)경농,002100,2020/12,32.47,5.35,3.58,6.69,67.53,94.25,2.76,4.28,1.12,1.08,1.58,11446.54,706,731.53,658.41
(주)경농,002100,2021/12,30.79,5.96,4.24,7.85,69.21,93.8,2.8,4.82,0.73,0.85,1.41,13363.88,890,534.79,828.67
(주)경농,002100,2022/12,30.54,8.54,7.38,12.08,69.46,88.67,0,8.17,0.48,1,1.96,18522.38,1503,738.61,2098.86
(주)경동나비엔,009450,2011/12,26.29,2.77,3.77,5.8,73.71,98.3,3.11,3.87,1.23,0.08,0.29,26786.5,749,1216.2,975.02
(주)경동나비엔,009450,2012/12,25.44,2.42,3.26,5.41,74.56,96.33,2.39,3.29,1.22,0.03,0.09,29751.09,729,2170.31,1093.07
(주)경동나비엔,009450,2013/12,28.49,2.69,3.4,6.19,71.51,95.22,3.36,3.56,1.22,0.13,0.36,32511.26,880,1641.56,1552.99
(주)경동나비엔,009450,2014/12,26.84,2.19,2.48,4.92,73.16,96.86,3.56,3.03,1.54,0.49,1.1,33673.62,727,-1041.34,1056.93
(주)경동나비엔,009450,2015/12,31.24,3.27,4.17,8.48,68.76,95.27,3.69,4.75,1.13,0.46,1.14,40192.37,1316,3431.81,1901.41
(주)경동나비엔,009450,2016/12,34.45,6.42,9.01,16.79,65.55,92.14,3.4,9.35,1.39,0.25,0.73,45782.99,2925,4814.41,3597.62
(주)경동나비엔,009450,2017/12,34.85,3.95,5.79,10.73,65.15,93.02,3.24,6.04,1.5,0.18,0.55,53743.12,2093,1578.68,3748.73
(주)경동나비엔,009450,2018/12,32.87,3.41,4.55,9.23,67.13,94.39,3.71,5.13,1.79,0.45,1.15,57046.28,1961,-1121.4,3202.81
(주)경동나비엔,009450,2019/12,34.18,3.6,4.67,9.59,65.82,94.21,3.92,5.27,1.38,0.48,1.17,60778.69,2207,6166.24,3518.58
(주)경동나비엔,009450,2020/12,37.83,4.77,6.19,12.83,62.17,92.32,4.01,6.7,1.22,0.4,0.97,67802.04,3261,4473.39,5208.87
(주)경동나비엔,009450,2021/12,38,7.31,9.67,20.2,62,94.17,3.94,9.94,1.21,0.21,0.52,81070.85,5898,5929.45,4725.97
(주)경동나비엔,009450,2022/12,40.31,4.62,5.49,11.07,59.69,94.85,3.87,6.05,1.33,0.48,1.11,79682.43,3707,641.52,4102.72
(주)경동도시가스,267290,2017/12,,,,,,,,,,,,,,,
(주)경동도시가스,267290,2018/12,7.84,2.13,4.59,11.11,92.16,97.34,0.04,4.28,0,-0.15,-0.53,340578.84,7235,25589.06,9043.16
(주)경동도시가스,267290,2019/12,7.91,1.73,3.22,7.45,92.09,98.03,0,2.9,0,-0.17,-0.56,241325.67,4167,5762.71,4758.83
(주)경동도시가스,267290,2020/12,9.51,1.75,2.62,5.46,90.49,98.33,0,2.46,0,-0.11,-0.32,184352.13,3224,53.33,3076.19
(주)경동도시가스,267290,2021/12,7.82,1.52,2.45,5.9,92.18,98.14,0,2.29,0,-0.1,-0.28,247167.77,3756,23533.07,4602.22
(주)경동도시가스,267290,2022/12,5.02,1.05,2.45,6.28,94.98,98.9,0,2.19,0,-0.11,-0.43,390973.07,4105,8922.65,4286.6
(주)경동인베스트,012320,2011/12,5.86,1.64,3.33,7.76,94.14,98.42,0.02,2.68,0,-0.33,-1.15,530207.44,8695,25421.6,10289.54
(주)경동인베스트,012320,2012/12,4.84,1.71,3.88,10.11,95.16,98.01,0.02,3.12,0,-0.34,-1.24,718159.55,12300,43207.95,14318.45
(주)경동인베스트,012320,2013/12,4.63,1.79,4.13,10.58,95.37,98.19,0.02,3.32,0,-0.36,-1.33,800121.78,14243,19867.32,14503.07
(주)경동인베스트,012320,2014/12,5.07,2.92,6.01,13.88,94.93,98.16,0.02,5.33,0,-0.34,-1.21,746975.17,20943,5974.08,13754.89
(주)경동인베스트,012320,2015/12,5.22,-1.32,-1.71,-2.85,94.78,100.83,0.03,-1.99,0,-0.21,-0.54,460333.01,-4456,-14428.09,-3816.05
(주)경동인베스트,012320,2016/12,9.91,1.62,1.67,3.34,90.09,97.57,0.05,1.66,0,0,-0.01,339159.39,5314,7712.44,8226.45
(주)경동인베스트,012320,2017/12,27.86,26.62,6.02,10.99,72.14,81.35,0.01,6.16,0,0.75,0.33,78764.49,20799,24290.38,14689.55
(주)경동인베스트,012320,2018/12,25.15,13.05,5.01,7.35,74.85,82.85,0.22,5.26,0,0.73,0.76,96677.29,11998,5291.22,16580.22
(주)경동인베스트,012320,2019/12,17.82,3.26,1.48,2.29,82.18,91.92,0.23,1.75,0,0.63,0.86,114910.1,4007,13695.73,9285.11
(주)경동인베스트,012320,2020/12,13.79,5.31,2.76,3.68,86.21,93.73,0.22,2.89,0,0.25,0.43,131302.31,6956,7804.37,8230.62
(주)경동인베스트,012320,2021/12,12.88,4.65,2.38,3.43,87.12,95.35,0.22,2.54,0,0.32,0.62,126197.97,6714,10738.14,5873.98
(주)경동인베스트,012320,2022/12,13.85,3.4,1.61,3.23,86.15,94.66,0.17,1.42,0,-0.42,-0.81,116506.08,6519,11513.85,6219.57
(주)경방,000050,2011/12,25.66,-0.32,-0.08,-0.18,74.34,95.88,0.12,1.33,0,5.28,2.66,167373.25,-539,-7042.02,10667.41
(주)경방,000050,2012/12,21.82,-2.37,-0.59,-1.26,78.18,97.83,0.16,0.88,0,5.58,2.75,160394.62,-3834,8552.43,3487.47
(주)경방,000050,2013/12,27.57,4.2,1.11,2.32,72.43,89.62,0.07,2.16,0,4.11,2.01,139307.34,5865,20525.17,14457.48
(주)경방,000050,2014/12,27.56,3.49,0.88,1.79,72.44,90.69,0.19,1.83,0,3.84,1.87,120019.22,4190,8688.34,11168.28
