회사명,거래소코드,회계년도,매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),기업순이익률(IFRS연결),R & D 투자효율(IFRS연결),금융비용 대 총비용비율(IFRS연결),이자부담률(IFRS연결),1주당매출액(IFRS연결),1주당순이익(IFRS연결),1주당 CASH FLOW(IFRS연결),1주당정상영업이익(IFRS연결)
(주)골드퍼시픽,038530,2018/12,75.32,-78.34,-11.82,-21.81,24.68,115.84,7.02,-8.5,0,11.32,7.08,333.11,-475,-211.65,-52.75
(주)골드퍼시픽,038530,2019/12,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2020/12,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2021/12,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2022/12,14.91,-22.78,-9.29,-11.48,85.09,100.45,0.83,-9.03,0,0.62,1.37,365.67,-84,41.12,-1.66
(주)골프존,215000,2015/12,,,,,,,,,,,,,,,
(주)골프존,215000,2016/12,59.7,16.84,19.44,30.3,40.3,79.06,2.05,19.26,0,-0.2,-0.52,34573.7,5825,5615.09,7241.35
(주)골프존,215000,2017/12,65.5,39.68,35.96,51.19,34.5,81.28,1.61,35.57,0,-0.5,-1.3,31887.19,-16,12808.22,5968.94
(주)골프존,215000,2018/12,60.96,10.28,8.04,10.63,39.04,85.83,2.64,7.56,0,-0.69,-1.97,31664.07,3255,5240.13,4487.4
(주)골프존,215000,2019/12,62,6.56,5.72,8.21,38,86.93,3.94,5.4,0,-0.42,-1.07,39362.83,2585,6294.66,5146.67
(주)골프존,215000,2020/12,62.52,12.56,11.03,18.02,37.48,82.72,2.71,11.1,0,0.09,0.18,47570.41,6101,13927.75,8218.25
(주)골프존,215000,2021/12,64.8,17.36,17.97,29.79,35.2,75.55,3.02,17.94,0,-0.04,-0.07,70163.98,12167,21683.23,17157.71
(주)골프존,215000,2022/12,58.89,18.07,20.79,35,41.11,75.92,3.19,20.8,0,0.01,0.01,98402.1,18293,21341.28,23692.37
(주)골프존뉴딘홀딩스,121440,2011/12,53.49,21.54,16.42,18.23,46.51,76.23,3.56,14,0,-3.83,-25.12,17568.46,4045,3755.45,4432.3
(주)골프존뉴딘홀딩스,121440,2012/12,54.55,25.33,15.96,19.34,45.45,76.18,2.99,14.76,0,-2.39,-6.99,23579.65,5988,4988.18,5617.73
(주)골프존뉴딘홀딩스,121440,2013/12,48.79,0.77,0.48,0.67,51.21,77.96,1.86,-0.18,0,-1.21,-2.25,9908.7,77,1721.37,2184.29
(주)골프존뉴딘홀딩스,121440,2014/12,48.94,18.44,11.32,17.4,51.06,76.16,2.07,11.32,0,-0.01,-0.01,11658.09,2156,781.31,2778.73
(주)골프존뉴딘홀딩스,121440,2015/12,33.7,529.43,113.92,168.4,66.3,105.68,2.24,114.39,0,1.93,1.48,4346.51,23073,-403.29,-246.99
(주)골프존뉴딘홀딩스,121440,2016/12,48.12,1.18,0.38,0.75,51.88,84.79,1.6,1.05,0,2.12,2.29,5679.12,94,371.07,863.88
(주)골프존뉴딘홀딩스,121440,2017/12,47.15,-10.1,-2.85,-4.2,52.85,91.38,1.87,-2.14,0,2.29,2.19,4990.03,-505,-27.4,430.07
(주)골프존뉴딘홀딩스,121440,2018/12,42.07,-3.37,-0.98,-1.45,57.93,99.5,1.85,-0.17,0,2.34,2.29,5206.66,-166,-470.58,26.01
(주)골프존뉴딘홀딩스,121440,2019/12,38.58,-15.22,-4.49,-6.89,61.42,101.58,1.13,-3.32,0,3.4,2.94,5344.37,-752,132.04,-84.63
(주)골프존뉴딘홀딩스,121440,2020/12,39.78,9.75,3.62,6.14,60.22,89.73,0.51,4.65,0,2.86,2.46,6817.16,659,597.31,700.33
(주)골프존뉴딘홀딩스,121440,2021/12,42.06,32.53,15.66,25.23,57.94,82.48,0.49,16.49,0,2.04,2.18,9750.66,3152,492.66,1708.65
(주)골프존뉴딘홀딩스,121440,2022/12,41.96,18.01,9.03,13.58,58.04,80.68,0.71,9.73,0,1.66,2.05,11409.69,2032,419.76,2204.78
(주)공구우먼,366030,2017/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2020/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2021/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2022/12,,,,,,,,,,,,,,,
(주)광림,014200,2011/12,,,,,,,,,,,,,,,
(주)광림,014200,2012/12,,,,,,,,,,,,,,,
(주)광림,014200,2013/12,,,,,,,,,,,,,,,
(주)광림,014200,2014/12,24.19,-0.1,-0.1,1.09,75.81,99.06,1.21,0.86,0,1,2.03,12105.41,37,-331.86,114.31
(주)광림,014200,2015/12,,,,,,,,,,,,,,,
(주)광림,014200,2016/12,14.09,-2.17,-0.83,-1.92,85.91,99.8,0.14,-0.59,0,0.63,0.47,1800.12,-42,67.8,3.54
(주)광림,014200,2017/12,2.98,-17.46,-10.79,-15.47,97.02,109.15,0.1,-9.2,0,2.23,3.2,2787.54,-308,-314.44,-255.05
(주)광림,014200,2018/12,10.29,-20.82,-14.37,-26.58,89.71,100.76,0.01,-12.27,0,2.33,4.2,2816.49,-467,-274.13,-21.54
(주)광림,014200,2019/12,7.47,-9.6,-6.36,-7.84,92.53,107.53,0.03,-4.5,0,2.21,3.16,2939.38,-121,-246.56,-221.33
(주)광림,014200,2020/12,14.95,-14.78,-10.26,-31.28,85.05,94.51,0.04,-7.2,0,4.1,4.85,3046.36,-432,474.14,167.13
(주)광림,014200,2021/12,15.67,-12.21,-9.57,-15.63,84.33,94.01,0.03,-5.05,0,4.65,7.94,3560.6,-242,187.14,213.1
(주)광림,014200,2022/12,19.73,-12.94,-9.79,-19.03,80.27,89.36,0.08,-6.3,0,4.01,7.38,2281.61,-294,110.55,242.87
(주)광무,029480,2011/12,18.36,-96.85,-66,-131.02,81.64,127.91,3.02,-61.55,0,3.29,8.88,412.65,0,67.46,-107.92
(주)광무,029480,2012/12,18.02,-25.96,-19.16,-36.23,81.98,114.03,0.15,-17.48,0,1.74,3.57,326.42,-848,-46.04,-45.79
(주)광무,029480,2013/12,-10.17,-139.87,-63,-150,110.17,167.72,0.58,-60.31,0,2.44,4.64,1089.16,-1897,-51.51,-737.53
(주)광무,029480,2014/12,,,,,,,,,,,,,,,
(주)광무,029480,2015/12,,,,,,,,,,,,,,,
(주)광무,029480,2016/12,,,,,,,,,,,,,,,
(주)광무,029480,2017/12,,,,,,,,,,,,,,,
(주)광무,029480,2018/12,22.99,-22.19,-18.01,-51.67,77.01,105.79,0,-16.99,0,1.12,1.64,703.61,-152,-40.39,-40.71
(주)광무,029480,2019/12,40.05,-17.6,-14.02,-38.68,59.95,108.26,0,-12.51,0,1.61,2.39,935.41,-159,-62.45,-77.24
(주)광무,029480,2020/12,11.08,-76.76,-37.98,-82.72,88.92,114.19,0,-34.87,0,3.21,5.78,406.49,-300,-21.19,-57.69
(주)광무,029480,2021/12,17.79,-4.01,-1.06,-2.02,82.21,103.83,0,-0.46,0,1.56,1.28,224.12,-9,-12.63,-8.59
(주)광무,029480,2022/12,9.49,-9.42,-6.14,-11.26,90.51,96.96,0,-2.23,0,5.57,8.61,2677.34,-257,-1203.21,81.31
(주)구스앤홈,329050,2017/12,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,,,,,,,,
(주)구영테크,053270,2011/12,12.25,-0.44,-0.44,-1.4,87.75,98.3,0,2.97,0,3.31,4.56,11495.63,-42,122.42,401.17
(주)구영테크,053270,2012/12,13.82,1.05,1.05,4.49,86.18,95.19,0.02,4.45,0,3.39,4.45,12114.35,136,916.91,582.28
(주)구영테크,053270,2013/12,12.89,1.26,1.4,5.74,87.11,95.66,0.01,4.63,0,2.91,4.27,13433.05,179,859.13,582.61
(주)구영테크,053270,2014/12,13.18,1.31,1.47,4.75,86.82,96.81,0.04,3.91,0,2.18,3.49,8615.1,123,171.74,274.74
(주)구영테크,053270,2015/12,14.79,2.42,2.62,7.74,85.21,96.43,0,4.49,0,1.74,2.84,8693.62,223,874.44,310.47
(주)구영테크,053270,2016/12,15.19,1.71,1.55,4.64,84.81,97.08,0,2.82,0,1.41,1.95,7492.18,142,974.13,219.14
(주)구영테크,053270,2017/12,15.17,0.91,0.77,2.61,84.83,96.2,0,2.03,0,1.48,1.86,7569.57,81,278.62,287.53
(주)구영테크,053270,2018/12,11.4,3.03,3.04,9.65,88.6,97.24,0.02,4.86,0,1.83,2.68,9863.42,296,164.86,271.74
(주)구영테크,053270,2019/12,9.61,1.47,1.66,4.8,90.39,97.73,0,3.56,0,1.69,2.91,8746.37,136,290.07,198.5
(주)구영테크,053270,2020/12,9.43,0.37,0.35,1.03,90.57,98.51,0,1.67,0,1.39,2,7450.91,29,688.73,111.34
(주)구영테크,053270,2021/12,10.49,1.54,1.44,4.29,89.51,98.04,0.01,2.58,0,1.21,1.71,7706.19,127,653.21,151.35
(주)구영테크,053270,2022/12,10.93,1.45,1.72,4.98,89.07,97.19,0,3.54,0.23,1.5,2.78,10388.95,159,837.87,291.57
(주)국보디자인,066620,2011/12,15.72,4.63,7.63,13.29,84.28,94.18,0.01,6.02,0,-1.02,-3.76,17425.29,847,2061.57,1143.09
(주)국보디자인,066620,2012/12,16.02,6.94,9.57,15.67,83.98,91.21,0,7.6,0,-1.54,-5.06,15920.4,1111,2026.77,1400.17
(주)국보디자인,066620,2013/12,13.45,6.69,9.91,17.76,86.55,92.8,0.01,8.32,0,-1.15,-3.59,21802.47,1458,2706.41,1569.04
(주)국보디자인,066620,2014/12,14.9,6.2,8.42,15.64,85.1,92.43,0.01,7.15,0,-1,-2.75,23516.52,1459,1748.79,1779.53
(주)국보디자인,066620,2015/12,13.28,5.59,7.89,13.66,86.72,93.36,0,6.78,0,-0.83,-2.61,25681.13,1436,1645.66,1705.26
(주)국보디자인,066620,2016/12,12.33,5.33,7.17,12.62,87.67,94.78,0,6.14,0,-0.8,-2.38,26854.67,1463,1694.18,1402.19
(주)국보디자인,066620,2017/12,16.98,4.93,8.26,14.33,83.02,91.42,0,7.39,0,-0.57,-2.07,36087.79,1827,2358.41,3095.43
(주)국보디자인,066620,2018/12,14.77,5.46,8.17,13.35,85.23,93.52,0,7.08,0,-0.77,-2.82,33901.31,1862,356.28,2195.12
(주)국보디자인,066620,2019/12,11.99,5.93,8.02,13.75,88.01,95.7,0,6.86,0,-0.89,-2.8,35867.46,2293,783.87,1540.97
(주)국보디자인,066620,2020/12,15.87,6.98,8.17,13.89,84.13,91.07,0,7.53,0,-0.6,-1.57,38418.53,2895,4590.73,3432.41
(주)국보디자인,066620,2021/12,15.05,6.05,6.36,9.93,84.95,92.03,0,6.09,0,-0.27,-0.74,43070.46,2843,1616.53,3432.86
(주)국보디자인,066620,2022/12,13.54,5.51,6.74,11.18,86.46,92.4,0,6.38,0,-0.32,-0.91,50451.71,3036,3152.58,3835.31
(주)국순당,043650,2011/12,42.79,4.12,2.64,2.99,57.21,95.81,6.6,1.74,0,-1.46,-8.52,7149.96,323,429.99,299.27
(주)국순당,043650,2012/12,44.83,5.21,2.95,3.46,55.17,95.24,2.6,2.29,0,-1.19,-7.66,6646.65,395,418.88,316.42
(주)국순당,043650,2013/12,42.35,5.79,2.68,2.89,57.65,98.55,4.5,2.14,0,-1.13,-5.59,5553.36,317,229.46,80.72
(주)국순당,043650,2014/12,39.38,3.77,1.59,1.73,60.62,98.82,1.83,1.29,0,-0.67,-2.99,5144.03,193,164.1,60.6
(주)국순당,043650,2015/12,35.41,-4.56,-1.63,-1.93,64.59,110.59,2.01,-2.44,0,-1.94,-9.06,4336.53,-214,-504.47,-459.04
(주)국순당,043650,2016/12,39.7,-3.96,-1.29,-1.39,60.3,109.31,3.43,-1.75,0,-1.23,-5.38,3903.02,-150,7.93,-363.29
(주)국순당,043650,2017/12,37.88,15.44,4.26,4.88,62.12,106.79,1.74,3.47,0,-2.28,-9.06,3514.4,563,-135.59,-238.73
(주)국순당,043650,2018/12,36.99,-4.84,-1.24,-1.26,63.01,104.87,1.38,-1.71,0,-1.45,-5.15,3443.56,-153,-315.47,-167.68
(주)국순당,043650,2019/12,27.85,-8.1,-3.37,-2.47,72.15,105.84,1.07,-3.29,0,0.15,0.53,5716.99,-295,-241.43,-334.13
(주)국순당,043650,2020/12,45.21,35.25,7.5,8.89,54.79,91.35,0.62,7.05,0,-2.05,-3.27,2964.86,1181,847.64,256.57
(주)국순당,043650,2021/12,48.11,33.04,8.42,9.34,51.89,87.02,1.33,8.12,0,-1.12,-3.25,3652.16,1369,322.49,474.15
