회사명,거래소코드,회계년도,총자본회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS)
(주)SH에너지화학,002360,2013/12,2.16,3.41,5.91,95.75,4.31,5.72,17.57,7.96,7.12,2.7
(주)SH에너지화학,002360,2014/12,2.07,2.96,6.89,94.9,4.01,5.19,17.57,7.48,7.2,2.69
(주)SH에너지화학,002360,2015/12,1.92,2.46,8.73,130.5,3.59,4.56,16.9,7.25,6.71,2.73
(주)SH에너지화학,002360,2016/12,1.81,2.21,9.93,166.75,2.99,3.54,19.3,6.02,6.65,2.49
(주)SH에너지화학,002360,2017/12,1.5,1.77,9.87,117.57,2.33,2.86,12.58,5.32,5.89,2.06
(주)SH에너지화학,002360,2018/12,1.48,1.72,10.52,138.3,2.31,3.08,9.17,6.84,5.94,2.1
(주)SH에너지화학,002360,2019/12,1.14,1.37,6.81,140.98,1.81,2.39,7.52,6.31,4.38,1.66
(주)SH에너지화학,002360,2020/12,0.77,0.98,3.62,79.3,1.31,1.61,7.18,5.5,2.62,1.19
(주)SH에너지화학,002360,2021/12,1.19,1.54,5.17,97.7,2.07,2.45,13.28,7.6,3.94,1.81
(주)SH에너지화학,002360,2022/12,1.33,1.75,5.55,101.84,2.22,2.87,9.87,7.54,4.51,1.91
(주)SIMPAC,009160,2011/12,0.77,1.47,1.61,5.5,1.51,1.81,9.02,3.65,3.79,0.84
(주)SIMPAC,009160,2012/12,0.74,1.34,1.65,5.93,1.48,1.79,8.67,3.61,3.53,0.85
(주)SIMPAC,009160,2013/12,0.62,1.09,1.45,5.37,1.59,1.98,8.04,3.06,3.18,0.82
(주)SIMPAC,009160,2014/12,0.67,1.13,1.64,5.84,2.03,2.72,7.91,3.36,3.37,0.96
(주)SIMPAC,009160,2015/12,0.61,1.01,1.55,5.1,1.66,2.43,5.28,3.33,2.91,0.83
(주)SIMPAC,009160,2016/12,0.59,0.96,1.51,5.06,1.56,2.32,4.78,3.87,2.86,0.78
(주)SIMPAC,009160,2017/12,0.57,0.9,1.58,6.15,1.54,2.17,5.36,3.51,2.79,0.8
(주)SIMPAC,009160,2018/12,0.55,0.85,1.6,8.67,1.35,2.07,3.89,4.35,2.37,0.75
(주)SIMPAC,009160,2019/12,0.63,0.94,1.93,12.57,1.58,2.42,4.51,7.75,2.53,0.89
(주)SIMPAC,009160,2020/12,0.43,0.64,1.32,8.34,1.12,1.73,3.21,6.56,1.83,0.63
(주)SIMPAC,009160,2021/12,0.68,1.06,1.86,12.78,1.45,2.21,4.21,8.46,3.47,0.84
(주)SIMPAC,009160,2022/12,0.64,1,1.76,20.14,1.25,1.89,3.66,6.72,3.64,0.74
(주)SNT에너지,100840,2011/12,0.74,1.19,1.93,4.55,1.46,1.58,18.73,4.55,1.59,0.91
(주)SNT에너지,100840,2012/12,0.81,1.34,2.05,5.49,1.5,1.68,14.06,3.95,1.88,0.94
(주)SNT에너지,100840,2013/12,0.66,1.05,1.8,5.18,1.17,1.31,11.41,4.16,1.65,0.77
(주)SNT에너지,100840,2014/12,0.79,1.2,2.31,7.05,1.38,1.54,13.66,5.39,2.02,0.93
(주)SNT에너지,100840,2015/12,0.84,1.18,2.86,8.57,1.47,1.6,18.29,4.59,2.18,1.05
(주)SNT에너지,100840,2016/12,0.77,1.1,2.5,9.48,1.28,1.34,29.08,4.51,2.15,0.9
(주)SNT에너지,100840,2017/12,0.57,0.79,1.99,9.02,0.96,0.98,40.44,3.71,1.57,0.69
(주)SNT에너지,100840,2018/12,0.48,0.6,2.4,9.3,0.85,0.87,34.81,3.67,1.2,0.68
(주)SNT에너지,100840,2019/12,0.66,0.85,2.99,11.8,1.13,1.19,25.65,3.38,1.75,0.89
(주)SNT에너지,100840,2020/12,0.69,0.95,2.54,8.63,1.15,1.19,28.6,2.89,1.97,0.85
(주)SNT에너지,100840,2021/12,0.51,0.69,1.92,6.31,0.85,0.87,39.43,2.64,1.42,0.63
(주)SNT에너지,100840,2022/12,0.52,0.74,1.7,6.88,0.99,1.02,31.36,4.66,1.58,0.74
(주)SNT홀딩스,036530,2011/12,0.01,0.01,4.96,0,0.05,0.05,0,3.56,13.3,0.05
(주)SNT홀딩스,036530,2012/12,0.02,0.02,27.33,0,0.17,0.17,0,13.03,69.5,0.16
(주)SNT홀딩스,036530,2013/12,0.02,0.02,21.08,0,0.2,0.2,0,13.74,113.99,0.2
(주)SNT홀딩스,036530,2014/12,0.02,0.02,17.79,0,0.16,0.16,0,12.49,118.47,0.16
(주)SNT홀딩스,036530,2015/12,0.02,0.02,1.88,0,0.12,0.12,0,13.5,129.66,0.11
(주)SNT홀딩스,036530,2016/12,0.02,0.02,2.19,0,0.1,0.1,0,15.16,215.87,0.1
(주)SNT홀딩스,036530,2017/12,0.02,0.02,24,275.67,0.08,0.08,0,12.29,267.08,0.08
(주)SNT홀딩스,036530,2018/12,0.02,0.02,27.47,271,0.08,0.08,0,12.63,640.14,0.08
(주)SNT홀딩스,036530,2019/12,0.03,0.03,47.38,0,0.18,0.18,0,18.9,352.22,0.18
(주)SNT홀딩스,036530,2020/12,0.06,0.06,99.16,0,0.94,0.94,0,36.2,481.39,0.93
(주)SNT홀딩스,036530,2021/12,0.04,0.04,39.22,0,0.83,0.83,0,23.62,452.94,0.82
(주)SNT홀딩스,036530,2022/12,0.05,0.05,27.02,0,0.83,0.83,0,23.48,659.6,0.81
(주)STX,011810,2011/12,1.36,3.98,2.07,17.27,4.34,5.62,18.99,11.96,89.13,1.82
(주)STX,011810,2012/12,1.26,3.6,1.94,17.33,4.45,5.48,23.59,9.87,57.82,1.57
(주)STX,011810,2013/12,0.88,0,1.02,11.54,2.53,2.83,24.25,5.98,28.77,0.86
(주)STX,011810,2014/12,1.2,0,0.98,13.19,1.89,2.2,13.16,6,21.65,0.83
(주)STX,011810,2015/12,1.28,21.42,1.36,15.9,1.96,2.48,9.33,7.46,24.58,0.99
(주)STX,011810,2016/12,1.74,0,1.51,11.53,2.65,3.57,10.35,8.3,34.68,1.09
(주)STX,011810,2017/12,2.78,0,2.23,11.59,4.03,5.82,13.13,10.46,52.81,1.48
(주)STX,011810,2018/12,2.75,24.88,3.09,15.48,4.11,5.84,13.82,12.51,45.78,1.82
(주)STX,011810,2019/12,2.72,21.94,3.11,17.26,4.19,6.02,13.85,11.7,34.52,1.86
(주)STX,011810,2020/12,1.91,20.62,2.11,10.37,3.51,4.98,11.91,9.1,16.97,1.38
(주)STX,011810,2021/12,1.72,15.08,1.95,8.44,3.95,5.28,15.74,9.15,12.72,1.37
(주)STX,011810,2022/12,2.3,17.13,2.65,13.14,4.93,6.08,26.22,11.28,19.08,1.8
(주)TCC스틸,002710,2011/12,1.18,2.24,2.5,14.79,2.9,5.18,6.58,7.17,6.18,1.58
(주)TCC스틸,002710,2012/12,1.04,2.12,2.04,14.17,2.65,4.9,5.78,6.66,6,1.49
(주)TCC스틸,002710,2013/12,0.95,2,1.81,14.54,2.63,4.66,6.05,6.9,5.87,1.57
(주)TCC스틸,002710,2014/12,0.89,1.91,1.65,15.41,2.76,4.74,6.59,6.88,5.73,1.39
(주)TCC스틸,002710,2015/12,0.88,2.44,1.39,15.44,2.04,2.94,6.68,6.82,5.86,1.07
(주)TCC스틸,002710,2016/12,1.09,3.75,1.54,15.03,2.12,3.04,7,7,6.72,1.27
(주)TCC스틸,002710,2017/12,1.34,3.66,2.1,15.94,3.36,6.3,7.18,7.34,7.48,1.57
(주)TCC스틸,002710,2018/12,1.36,3.74,2.14,14.82,3.05,5.85,6.37,8.35,7.92,1.52
(주)TCC스틸,002710,2019/12,1.26,3.47,1.98,13.69,2.71,5.62,5.23,9.12,7.51,1.4
(주)TCC스틸,002710,2020/12,1.22,3.3,1.93,18.48,2.79,5.64,5.5,8.69,6.92,1.28
(주)TCC스틸,002710,2021/12,1.43,3.61,2.37,20.99,2.96,5.2,6.88,8.02,8.5,1.6
(주)TCC스틸,002710,2022/12,1.42,3.5,2.39,16.92,2.75,5.02,6.09,7.81,6.28,1.46
(주)강원랜드,035250,2011/12,0.47,0.58,2.63,692.01,1.19,1.19,599.11,296.19,1,0.82
(주)강원랜드,035250,2012/12,0.46,0.55,2.63,627.98,1.16,1.16,750.25,247.38,0.98,0.81
(주)강원랜드,035250,2013/12,0.45,0.55,2.44,609.68,1.26,1.26,1007.39,232.36,1.02,0.84
(주)강원랜드,035250,2014/12,0.46,0.57,2.4,544.44,1.25,1.25,1106.13,269.39,1.14,0.84
(주)강원랜드,035250,2015/12,0.46,0.57,2.41,474.78,1.06,1.06,1154.03,330.09,1.29,0.75
(주)강원랜드,035250,2016/12,0.44,0.54,2.4,506.5,0.96,0.96,1156.25,377.05,1.35,0.69
(주)강원랜드,035250,2017/12,0.39,0.47,2.28,497.37,0.81,0.81,1228.69,362.92,1.28,0.6
(주)강원랜드,035250,2018/12,0.34,0.41,2.17,414.87,0.74,0.74,1175.54,199.93,1.13,0.55
(주)강원랜드,035250,2019/12,0.35,0.42,2.23,409.09,0.84,0.84,635.66,173.28,1.14,0.62
(주)강원랜드,035250,2020/12,0.12,0.14,0.86,187.83,0.28,0.29,165,96.91,0.35,0.22
(주)강원랜드,035250,2021/12,0.21,0.24,1.64,405.93,0.5,0.5,283.36,291.35,0.6,0.4
(주)강원랜드,035250,2022/12,0.32,0.38,1.93,427.65,0.9,0.9,341.91,321.07,1,0.63
(주)갤럭시아에스엠,011420,2011/12,0.83,1.35,2.17,35.85,2.12,2.12,0,6.38,93.44,1.19
(주)갤럭시아에스엠,011420,2012/12,0.92,1.51,2.4,28.38,1.92,1.92,0,7.89,147.22,1.18
(주)갤럭시아에스엠,011420,2013/12,0.83,1.3,2.31,22.72,1.66,1.66,0,7.6,123.06,1.04
(주)갤럭시아에스엠,011420,2014/12,0.88,1.44,2.29,24.36,1.76,1.78,163.36,6.78,154.29,1.07
(주)갤럭시아에스엠,011420,2015/12,1,1.45,3.2,29.15,1.72,1.74,266.03,8.8,179.64,1.17
(주)갤럭시아에스엠,011420,2016/12,0.74,0.96,3.32,16.23,1.23,1.23,0,7.1,101.82,0.92
(주)갤럭시아에스엠,011420,2017/12,0.7,0.87,3.8,11.44,1.25,1.25,0,5.37,90.4,0.96
(주)갤럭시아에스엠,011420,2018/12,0.54,0.65,2.94,9.44,1.11,1.11,0,4.09,73.41,0.81
(주)갤럭시아에스엠,011420,2019/12,0.93,1.18,4.43,18.86,2.06,2.06,0,8.19,75.26,1.41
(주)갤럭시아에스엠,011420,2020/12,0.69,0.92,2.74,20.29,1.4,1.4,0,5.97,11.89,0.96
(주)갤럭시아에스엠,011420,2021/12,0.83,1.07,3.68,33.98,1.89,2.21,13.01,11.3,9.3,1.3
(주)갤럭시아에스엠,011420,2022/12,0.61,0.91,1.86,26.78,2,3.19,5.38,7.37,11.7,0.98
(주)경농,002100,2011/12,0.64,0.82,2.97,7.31,1.22,4.23,1.71,18.24,2.52,0.91
(주)경농,002100,2012/12,0.69,0.88,3.17,7.36,1.5,7.45,1.88,26.38,2.66,1.07
(주)경농,002100,2013/12,0.67,0.89,2.67,7.46,1.55,7.05,1.99,23.69,2.61,1.05
(주)경농,002100,2014/12,0.6,0.81,2.36,7.02,1.48,6.36,1.92,18.72,2.33,1
(주)경농,002100,2015/12,0.55,0.8,1.79,6.48,1.36,5.65,1.78,13.92,2.26,0.85
(주)경농,002100,2016/12,0.54,0.82,1.57,6.07,1.28,5.67,1.65,12.41,2.35,0.76
(주)경농,002100,2017/12,0.53,0.8,1.63,5.65,1.26,6.11,1.58,12.56,2.35,0.75
(주)경농,002100,2018/12,0.53,0.79,1.59,6.39,1.22,5.26,1.6,10.65,2.27,0.72
(주)경농,002100,2019/12,0.52,0.8,1.48,6.89,1.15,4.33,1.57,9.4,2.29,0.7
(주)경농,002100,2020/12,0.56,0.85,1.59,7.15,1.15,4.21,1.59,9.98,2.6,0.72
(주)경농,002100,2021/12,0.57,0.85,1.74,8.62,1.18,3.84,1.71,9.8,2.38,0.74
(주)경농,002100,2022/12,0.62,0.92,1.88,9.94,1.26,3.4,2.01,9.98,2.34,0.81
(주)경동나비엔,009450,2011/12,1.49,2.27,4.35,8.06,3.06,4.78,8.48,8.28,4.64,1.85
(주)경동나비엔,009450,2012/12,1.43,2.31,3.72,7.08,2.93,4.33,9.04,7.33,4.34,1.73
(주)경동나비엔,009450,2013/12,1.34,2.37,3.07,7.03,3.26,4.74,10.42,7.1,3.17,1.66
(주)경동나비엔,009450,2014/12,1.21,2.32,2.52,7.79,3.2,4.76,9.76,5.95,2.71,1.45
(주)경동나비엔,009450,2015/12,1.37,2.54,2.96,8.85,3.4,4.88,11.18,5.89,3.35,1.61
(주)경동나비엔,009450,2016/12,1.51,2.56,3.65,7.72,3.67,5.18,12.59,6.26,3.71,1.85
(주)경동나비엔,009450,2017/12,1.54,2.64,3.71,6.98,3.54,5.1,11.61,6.31,4.04,1.85
(주)경동나비엔,009450,2018/12,1.49,2.67,3.35,7.91,3.21,4.88,9.37,5.76,4.1,1.68
(주)경동나비엔,009450,2019/12,1.45,2.65,3.22,8.73,3.09,4.64,9.28,5.15,4.05,1.64
(주)경동나비엔,009450,2020/12,1.5,2.78,3.24,9.17,3.08,4.64,9.18,5.44,4.19,1.69
(주)경동나비엔,009450,2021/12,1.58,2.96,3.39,9.25,3.07,4.84,8.43,6.1,4.69,1.73
(주)경동나비엔,009450,2022/12,1.42,2.55,3.18,9.61,2.76,4.72,6.66,6.4,4.36,1.61
(주)경동도시가스,267290,2017/12,,,,,,,,,,
(주)경동도시가스,267290,2018/12,2.07,5.04,3.51,4.89,3.64,3.65,1235.48,6.45,5.01,1.96
(주)경동도시가스,267290,2019/12,1.87,4.33,3.28,4.72,3.41,3.42,1080.02,6.32,4.4,1.86
(주)경동도시가스,267290,2020/12,1.5,3.14,2.89,4.48,3.02,3.03,843.12,5.76,3.36,1.67
(주)경동도시가스,267290,2021/12,1.82,4,3.35,4.74,3.41,3.42,1098.16,6.51,4.52,1.86
(주)경동도시가스,267290,2022/12,2.34,6.01,3.84,4.84,3.79,3.8,1474.39,6.78,7.12,2.04
(주)경동인베스트,012320,2011/12,2.13,4.64,3.93,5.18,3.7,3.71,2067.76,6.39,7.01,2.07
(주)경동인베스트,012320,2012/12,2.28,5.45,3.92,4.88,3.65,3.66,2515.82,6.41,8.82,2.02
(주)경동인베스트,012320,2013/12,2.29,5.41,3.96,4.87,3.61,3.61,2907.82,6.8,9.29,2.01
(주)경동인베스트,012320,2014/12,2.12,4.45,4.05,5.15,3.54,3.55,2705.46,7.08,8.09,2.03
(주)경동인베스트,012320,2015/12,1.33,2.44,2.95,4.12,2.48,2.48,1371,5.23,4.38,1.47
(주)경동인베스트,012320,2016/12,1.12,1.85,2.81,4.31,2.39,2.4,1033.82,4.91,3.2,1.45
(주)경동인베스트,012320,2017/12,0,0,0,0.01,0,0,1.2,0.01,0,0
(주)경동인베스트,012320,2018/12,0.02,0.02,0.9,0,0.1,0.1,169.75,16.42,0.68,0.1
(주)경동인베스트,012320,2019/12,0.03,0.03,1.04,0,0.19,0.19,65.34,10.25,1.16,0.18
(주)경동인베스트,012320,2020/12,0.02,0.03,1.59,0,0.19,0.19,45.58,9.51,2.78,0.17
(주)경동인베스트,012320,2021/12,0.03,0.03,6.7,0,0.25,0.25,61.49,9.96,2.6,0.24
(주)경동인베스트,012320,2022/12,0.04,0.04,8.91,0,0.31,0.31,68.53,10.11,2.79,0.31
(주)경방,000050,2011/12,0.21,0.41,0.43,132.94,2.47,4.91,4.96,8.21,0.91,0.76
(주)경방,000050,2012/12,0.2,0.39,0.41,96.13,2.35,5.12,4.36,8.41,0.87,0.75
(주)경방,000050,2013/12,0.21,0.39,0.44,70.7,2.92,5.56,6.16,8.59,0.91,1.35
(주)경방,000050,2014/12,0.2,0.38,0.43,23.4,3.15,5.53,7.32,8.19,0.93,0.8
(주)경방,000050,2015/12,0.24,0.47,0.51,17.5,3.68,6.46,8.52,9.64,1.17,0.88
(주)경방,000050,2016/12,0.25,0.46,0.55,18.76,3.82,6.75,8.81,9.92,1.24,1.46
(주)경방,000050,2017/12,0.24,0.41,0.56,18.09,3.79,6.01,10.27,9.74,1.21,1.1
(주)경방,000050,2018/12,0.23,0.39,0.57,17.82,3.5,5.49,9.62,9.86,1.26,1.09
(주)경방,000050,2019/12,0.2,0.34,0.48,15.39,1.63,1.93,10.24,9.5,1.82,0.9
(주)경방,000050,2020/12,0.18,0.3,0.45,14.2,1.55,1.66,24.37,10.07,4.26,0.68
(주)경방,000050,2021/12,0.22,0.36,0.6,17.02,4.05,4.57,36.24,10.28,7.47,1.05
(주)경방,000050,2022/12,0.23,0.35,0.65,14.43,4.54,5.35,30.09,9.82,9.25,1.45
(주)경보제약,214390,2011/12,,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,,
(주)경보제약,214390,2013/12,1.13,2.45,2.1,9.9,1.92,3.09,5.04,3.68,3.7,1.12
(주)경보제약,214390,2014/12,1.09,2.52,1.92,9.79,1.86,3.18,4.51,3.79,3.43,1.03
(주)경보제약,214390,2015/12,0.98,1.86,2.07,10.21,1.76,3.24,3.84,4.01,2.74,1.01
(주)경보제약,214390,2016/12,0.94,1.48,2.54,11.56,1.8,3.39,3.85,4.07,2.35,1.08
(주)경보제약,214390,2017/12,0.94,1.41,2.78,12.3,1.8,3.27,4.01,3.79,2.36,1.11
(주)경보제약,214390,2018/12,0.94,1.39,2.96,13.22,1.68,2.92,3.97,3.46,2.6,1.09
(주)경보제약,214390,2019/12,0.83,1.29,2.38,12.65,1.51,2.79,3.31,3.37,2.33,0.94
(주)경보제약,214390,2020/12,0.88,1.41,2.32,14.55,1.64,3.12,3.46,4.27,2.44,0.98
(주)경보제약,214390,2021/12,0.7,1.13,1.81,11.12,1.37,2.64,2.85,3.5,1.86,0.79
(주)경보제약,214390,2022/12,0.82,1.36,2.09,12.6,1.73,3.49,3.41,4.04,2.08,0.95
(주)경인양행,012610,2011/12,0.52,0.81,1.43,13.74,1.26,2.57,2.49,2.82,1.87,0.76
(주)경인양행,012610,2012/12,0.58,0.88,1.7,16.82,1.46,2.73,3.13,6.5,2.07,0.86
(주)경인양행,012610,2013/12,0.71,1.08,2.09,16.73,1.68,3.09,3.68,0,2.62,0.97
(주)경인양행,012610,2014/12,0.7,1.04,2.15,19.56,1.65,3.39,3.22,9.43,2.54,0.99
(주)경인양행,012610,2015/12,0.65,0.94,2.07,27.24,1.59,3.48,2.92,4.33,2.27,0.96
(주)경인양행,012610,2016/12,0.64,0.95,1.92,14.57,1.5,3.23,2.79,4.21,2.33,0.86
(주)경인양행,012610,2017/12,0.66,1.02,1.89,15.68,1.54,3.2,2.98,4.28,2.36,0.88
(주)경인양행,012610,2018/12,0.69,1.14,1.76,18.19,1.53,3.18,2.97,4.63,2.51,0.87
(주)경인양행,012610,2019/12,0.68,1.23,1.5,15.81,1.45,3.26,2.62,4.99,2.33,0.79
(주)경인양행,012610,2020/12,0.56,1.09,1.14,16.17,1.27,2.67,2.43,4.57,1.68,0.67
(주)경인양행,012610,2021/12,0.65,1.38,1.23,19.51,1.38,2.42,3.23,5.29,1.99,0.71
(주)경인양행,012610,2022/12,0.57,1.17,1.12,22.06,1.22,2.54,2.37,5,1.7,0.62
(주)광명전기,017040,2011/12,0.61,1.06,1.41,7.37,1.23,1.51,6.57,4.45,5.25,0.69
(주)광명전기,017040,2012/12,0.78,1.41,1.72,7.64,1.44,1.79,7.25,4.79,6.86,0.82
(주)광명전기,017040,2013/12,0.86,1.56,1.93,11.95,1.46,1.83,7.17,4.21,7.89,0.86
(주)광명전기,017040,2014/12,1.03,1.8,2.39,11.65,1.64,2.03,8.71,4.17,9.68,1.01
(주)광명전기,017040,2015/12,0.82,1.34,2.1,7.17,1.33,1.62,7.39,4.44,7.42,0.85
(주)광명전기,017040,2016/12,0.83,1.23,2.57,9.59,1.55,1.84,9.89,6.55,7.91,1.02
(주)광명전기,017040,2017/12,0.83,1.22,2.55,10.11,1.66,1.93,11.61,5.67,7.63,1.07
(주)광명전기,017040,2018/12,0.77,1.12,2.44,9.12,1.56,1.85,9.63,5.7,5.29,1.01
(주)광명전기,017040,2019/12,0.94,1.37,3.03,12.59,1.82,2.11,13.39,7.94,5.95,1.2
(주)광명전기,017040,2020/12,0.78,1.17,2.32,11.68,1.32,1.5,11.22,7.84,5.06,0.88
(주)광명전기,017040,2021/12,0.82,1.22,2.5,9.85,1.28,1.51,8.35,8.22,5.21,0.88
(주)광명전기,017040,2022/12,0.86,1.25,2.7,7.62,1.34,1.61,7.94,5.96,5.05,0.92
(주)광주신세계,037710,2011/12,0.62,0.77,3.19,33.49,0.94,0.96,50.86,57.08,2.28,0.74
(주)광주신세계,037710,2012/12,0.53,0.64,3.06,37.52,0.78,0.79,44.6,37.11,2,0.63
(주)광주신세계,037710,2013/12,0.38,0.54,1.3,41.48,1.32,1.36,45.64,37.76,1.78,0.79
(주)광주신세계,037710,2014/12,0.31,0.48,0.91,42.71,8.12,9.92,44.86,44.42,1.81,1.38
(주)광주신세계,037710,2015/12,0.31,0.44,1.1,42.24,7.07,8.51,41.78,45.27,1.83,1.26
(주)광주신세계,037710,2016/12,0.32,0.41,1.45,43.7,6.38,7.6,39.81,34.62,1.9,1.19
(주)광주신세계,037710,2017/12,0.32,0.38,2.13,44.54,6.38,7.65,38.67,25.87,1.92,1.61
(주)광주신세계,037710,2018/12,0.2,0.23,1.79,29.14,2.44,2.63,33.78,15.01,1.25,1.04
(주)광주신세계,037710,2019/12,0.21,0.24,1.86,51.17,1.71,1.77,57.24,17.86,0.85,0.94
(주)광주신세계,037710,2020/12,0.19,0.22,1.66,113.86,1.2,1.23,51.93,20.51,0.6,0.75
(주)광주신세계,037710,2021/12,0.21,0.24,1.76,161.46,0.96,0.97,65,20.77,0.73,0.66
(주)광주신세계,037710,2022/12,0.21,0.24,1.61,154.16,0.8,0.8,69.92,16.5,0.79,0.57
(주)국동,005320,2011/12,2.02,10.74,2.48,13.88,4.05,7.03,9.54,8.81,995.8,1.54
(주)국동,005320,2012/12,2.34,33.47,2.52,18.8,4.5,7.49,11.25,9.2,1365.02,1.62
(주)국동,005320,2013/12,2.52,21.95,2.85,21.71,4.51,7.93,10.48,9.26,1163.39,1.75
(주)국동,005320,2014/12,2.52,11.62,3.22,32.2,3.89,5.59,12.84,7.6,1034.23,1.88
(주)국동,005320,2015/12,1.71,5.58,2.47,34.89,2.9,4.21,9.3,5.44,817.92,1.49
(주)국동,005320,2016/12,1.67,4.08,2.83,35.12,2.96,4.51,8.66,6.16,1030.71,1.67
(주)국동,005320,2017/12,1.61,3.3,3.15,68.86,2.86,4.18,9.05,6.6,1045.84,1.69
(주)국동,005320,2018/12,1.76,3.4,3.63,0,3.16,4.45,10.94,5.95,1049.51,1.73
(주)국동,005320,2019/12,1.31,2.42,2.85,0,2.28,2.96,10.02,5.37,875.91,1.39
