회사명,거래소코드,회계년도,매출액총이익률(IFRS),매출액순이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),광고선전비 대 매출액비율(IFRS),기업순이익률(IFRS),R & D 투자효율(IFRS),금융비용 대 총비용비율(IFRS),이자부담률(IFRS),1주당매출액(IFRS),1주당순이익(IFRS),1주당 CASH FLOW(IFRS),1주당정상영업이익(IFRS)
(주)고바이오랩,348150,2022/12,86.53,-197.35,-14.12,-17.12,13.47,178.42,0,-15.21,8.55,-4.65,-6.23,403.78,-878,-19.3,-316.63
(주)고영테크놀러지,098460,2011/12,57.18,20.67,21.19,26.45,42.82,78.22,1.09,20.65,6.42,-0.67,-2.73,9297.7,1945,1481.2,2271.94
(주)고영테크놀러지,098460,2012/12,54.11,14.72,15.61,19.21,45.89,79.8,0.96,14.98,6.39,-0.72,-3.39,11256.97,1703,1185.02,2273.76
(주)고영테크놀러지,098460,2013/12,53.1,14.26,13.21,16.09,46.9,82.89,0.95,12.65,7,-0.7,-3.1,11605.92,1664,1359.77,1985.31
(주)고영테크놀러지,098460,2014/12,54.71,16.8,17.31,20.86,45.29,79.54,0.75,16.8,7.35,-0.6,-2.97,10086.95,1706,1773.7,2063.75
(주)고영테크놀러지,098460,2015/12,58.89,16.8,15.41,18.48,41.11,81.11,0.91,15.05,10.01,-0.47,-2.18,10219.67,1748,1118.31,1930.46
(주)고영테크놀러지,098460,2016/12,60.08,18.31,15.83,19.28,39.92,79.75,0.76,15.58,12.13,-0.35,-1.39,11219.15,2106,1314.58,2272.3
(주)고영테크놀러지,098460,2017/12,61.02,15.3,14.45,17.93,38.98,75.91,0.45,14.28,12.21,-0.22,-0.9,13820.51,2183,548.1,3329.26
(주)고영테크놀러지,098460,2018/12,59.92,19.3,17.47,21.53,40.08,78.98,0.75,17.11,13.67,-0.5,-1.92,16059.75,3131,3287.6,3375.11
(주)고영테크놀러지,098460,2019/12,61.05,16.57,11.8,14.42,38.95,80.88,0.95,11.35,15.03,-0.77,-2.5,15304.03,2574,1908.6,2926.51
(주)고영테크놀러지,098460,2020/12,59.69,4.74,2.44,2.95,40.31,91.36,0.84,2.12,21.26,-0.63,-1.84,11440.25,551,2709.28,988.55
(주)고영테크놀러지,098460,2021/12,61.59,16.78,11.53,14.35,38.41,80.97,0.19,11.37,19.36,-0.27,-0.8,3352.19,571,626.91,637.77
(주)고영테크놀러지,098460,2022/12,61.67,14.68,9.47,12.01,38.33,83.61,0.4,9.22,0,-0.44,-1.19,3522.99,528,377.25,577.38
(주)골드앤에스,035290,2011/12,30.52,2.32,2.43,4.97,69.48,97.36,3.36,3.44,0,0.97,1.97,919.95,21,167.91,26.95
(주)골드앤에스,035290,2012/12,28.28,-13.75,-12.39,-24.69,71.72,105.38,4.08,-10.91,0,1.42,2.99,743.08,-112,41.1,-40.01
(주)골드앤에스,035290,2013/12,27.93,-44.74,-38.28,-90.82,72.07,113.61,3.71,-36.2,0,1.72,3.6,511,-238,-32.78,-69.54
(주)골드앤에스,035290,2014/12,26.24,-27.38,-25.42,-85.29,73.76,107.88,3.44,-21.26,0,3.47,5.93,1523.01,-790,-23.91,-120
(주)골드앤에스,035290,2015/12,29.98,-42.33,-35.81,-78.06,70.02,95.22,1.81,-33.82,0,1.64,3.67,1268.98,-578,123.93,60.71
(주)골드앤에스,035290,2016/12,39.37,2.44,1.85,2.67,60.63,97.55,2.1,2.48,0,0.78,2.04,806.61,20,84.65,19.77
(주)골드앤에스,035290,2017/12,35.79,-62.98,-45.69,-59.27,64.21,128.82,2.1,-45.33,0,0.3,1.58,615.59,-385,-45.24,-177.44
(주)골드앤에스,035290,2018/12,49.91,-46.61,-13.61,-30,50.09,152.52,2.06,-10.5,0,6.27,5.68,390.14,-182,-126.32,-204.91
(주)골드앤에스,035290,2019/12,17.66,-325.58,-84.97,0,82.34,193.45,1.38,-68.83,0,13.83,19.02,321.19,-10205,-262.52,-300.15
(주)골드앤에스,035290,2020/12,74.8,39.52,8.91,0,25.2,156.61,1.48,21.85,0,25.51,17.45,1071.8,452,-129.05,-606.79
(주)골드앤에스,035290,2021/12,34.44,5.71,3.3,5.18,65.56,89.96,0.14,4.73,0,2.67,3.95,372.87,21,56.19,37.42
(주)골드앤에스,035290,2022/12,45.97,-65.91,-28.59,-41.82,54.03,112.06,28.72,-27.7,0,1.41,2.81,261.95,-166,-15.79,-31.59
(주)골드퍼시픽,038530,2011/12,40.94,8.81,3.92,4.62,59.06,85.09,0.14,2.78,0.18,-2.67,-7.49,502.66,45,78.27,77.22
(주)골드퍼시픽,038530,2012/12,30.08,2.43,0.89,1.14,69.92,93.07,0.37,1.01,0.25,0.34,0.55,452.58,11,-196.02,31.36
(주)골드퍼시픽,038530,2013/12,-17.48,-130.32,-28.01,-42.23,117.48,186.07,0.68,-27.2,0.45,1.6,2.41,260.06,-355,-173.7,-223.82
(주)골드퍼시픽,038530,2014/12,-66.74,-150.49,-23.4,-42.96,166.74,223.07,0.7,-21.36,0.4,4.98,4.47,166.9,-265,-186.44,-205.41
(주)골드퍼시픽,038530,2015/12,-36.85,-204.62,-42.15,-67.67,136.85,233.92,0.34,-40.29,0,2.92,4.93,131.83,-280,-153.69,-176.54
(주)골드퍼시픽,038530,2016/12,15.35,-244.4,-121.36,-212.98,84.65,188.91,0.01,-118.89,0,2.04,5.75,177.66,-438,-121.37,-157.96
(주)골드퍼시픽,038530,2017/12,60.47,-19.18,-5.12,-26.61,39.53,81.37,0.19,2.72,0,22.94,9.71,211.19,-152,-36.88,39.35
(주)골드퍼시픽,038530,2018/12,74.76,-78.49,-13.72,-34.42,25.24,109.07,7.11,-9.8,0,13.79,6.52,544.28,-475,-197.8,-49.37
(주)골드퍼시픽,038530,2019/12,29.09,-279.11,-57.34,-153.58,70.91,130.21,3.55,-51.93,0,0,8.64,357.22,-1099,-111.72,-107.93
(주)골드퍼시픽,038530,2020/12,38.09,-10.45,-2.08,-3.71,61.91,95.22,2.29,2.3,0,17.35,9.95,321.14,-33,74.25,15.34
(주)골드퍼시픽,038530,2021/12,22.23,-223.18,-24.52,-31.72,77.77,154.81,12.46,-23.44,0,13.82,4.72,113.08,-252,-14.51,-61.98
(주)골드퍼시픽,038530,2022/12,14.92,-22.77,-9.03,-11.81,85.08,99.6,0.83,-8.77,0,0.64,1.08,365.78,-84,46.37,1.45
(주)골프존,215000,2015/12,,,,,,,,,,,,,,,
(주)골프존,215000,2016/12,61.6,18.24,20.22,30.99,38.4,77.67,2,20.06,0,-0.18,-0.46,31370.83,5726,5213.61,7005.35
(주)골프존,215000,2017/12,64.09,43.96,36.26,50.82,35.91,80.49,1.58,35.89,0,-0.54,-1.32,27386.09,12044,12658.35,5342.88
(주)골프존,215000,2018/12,59.71,11.31,8.78,11.44,40.29,84.82,2.61,8.29,0,-0.72,-2.09,30527.24,3454,5494.69,4634.86
(주)골프존,215000,2019/12,59.65,8.24,7.04,9.78,40.35,84.86,3.76,6.66,0,-0.52,-1.38,38093.36,3141,6145.87,5768.39
(주)골프존,215000,2020/12,59.34,12.93,11.13,16.74,40.66,81.65,2.54,11.13,0,0.01,0.02,44782.93,5792,13475.44,8219.85
(주)골프존,215000,2021/12,61.05,17.95,18.52,28.68,38.95,74.46,2.53,18.39,0,-0.16,-0.36,65860,11827,20015,16817.82
(주)골프존,215000,2022/12,55.46,19.94,23.28,34.72,44.54,73.54,2.49,23.15,0,-0.15,-0.41,90302.27,18178,18644.78,23898.06
(주)골프존뉴딘홀딩스,121440,2011/12,51.47,22.69,17.15,18.74,48.53,76.33,3.63,14.7,0,-3.9,-28.84,17079.54,4131,3801.57,4454.27
(주)골프존뉴딘홀딩스,121440,2012/12,56.67,26.09,16.28,19,43.33,73.26,3.12,14.82,0,-3,-10.17,22497.86,5870,6020.54,6014.97
(주)골프존뉴딘홀딩스,121440,2013/12,54.98,1.32,0.82,1.07,45.02,75.16,1.79,-0.41,0,-2.3,-5.1,9226.97,123,1970.65,2291.72
(주)골프존뉴딘홀딩스,121440,2014/12,55.77,16.42,10.81,14.11,44.23,73.81,1.78,9.4,0,-2.59,-6,10504.1,1730,837.42,2750.87
(주)골프존뉴딘홀딩스,121440,2015/12,73.75,3028.36,151.84,173.6,26.25,146.97,3.78,150.86,0,-12.6,-7.87,776.36,23575,-431.83,-364.65
(주)골프존뉴딘홀딩스,121440,2016/12,98.15,-73.25,-3.53,-3.83,1.85,120.12,2.47,-4.11,0,-6.06,-7.47,645.52,-474,131.16,-129.87
(주)골프존뉴딘홀딩스,121440,2017/12,97.1,-92.68,-3.97,-4.41,2.9,129.04,4.24,-4.36,0,-4.34,-3.85,548.58,-509,-26.8,-159.31
(주)골프존뉴딘홀딩스,121440,2018/12,96.09,-47.54,-1.39,-1.59,3.91,168.36,11.25,-1.61,0,-1.89,-1.81,375.85,-179,-103.1,-256.92
(주)골프존뉴딘홀딩스,121440,2019/12,5.71,-112.81,-5.51,-6.49,94.29,166.76,2.32,-5.52,0,-0.04,-0.03,627.91,-710,61.64,-419.18
(주)골프존뉴딘홀딩스,121440,2020/12,92.85,47.31,4.95,5.92,7.15,37.17,0.52,4.91,0,-0.66,-0.25,1341.86,636,121.95,843.12
(주)골프존뉴딘홀딩스,121440,2021/12,97.34,167.25,21.19,25.15,2.66,25.31,0.53,21.29,0,2.8,0.64,1870.81,3135,158.5,1397.27
(주)골프존뉴딘홀딩스,121440,2022/12,96.7,87.58,11.88,13.84,3.3,21.76,0.41,11.95,0,2.18,0.53,2357.87,2069,325.78,1844.73
(주)공구우먼,366030,2017/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,,,,,,
(주)공구우먼,366030,2020/12,41.61,13.3,18.12,20.45,58.39,83.54,1.59,18.01,1.74,-0.1,-1,3244332.99,434021,511043.25,533965.63
(주)공구우먼,366030,2021/12,45,18.52,31.56,36.23,55,78.18,1.55,31.32,1.14,-0.19,-1.92,4697221.31,3480,816290.54,1025120.85
(주)공구우먼,366030,2022/12,45.12,19.3,23.91,26.22,54.88,78.42,1.93,22.52,1.06,-1.43,-15.83,2693.38,552,482.36,581.1
(주)광림,014200,2011/12,16.17,2.43,2.63,4.63,83.83,98.37,0.02,3.75,0,1.05,2.6,7002.14,170,781.11,346.09
(주)광림,014200,2012/12,12.67,0.69,0.67,0.98,87.33,98.45,0.09,1.35,0,0.71,2.17,5369.31,37,173.25,83.17
(주)광림,014200,2013/12,13.53,1.58,1.7,2.54,86.47,96.8,0.01,1.63,0,-0.07,-0.24,5410.37,86,760.29,173.17
(주)광림,014200,2014/12,14.56,1.23,1.03,1.74,85.44,97.94,0.11,1.89,0,1.05,2.12,4840.86,60,-187.4,99.93
(주)광림,014200,2015/12,24.86,3.89,6.92,12.54,75.14,99.44,1.3,8.7,0,0.98,3.98,12407.55,506,-139.32,69.39
(주)광림,014200,2016/12,14.09,0.5,0.29,0.51,85.91,99.8,0.14,0.66,0,0.61,0.86,1907.37,10,71.84,3.75
(주)광림,014200,2017/12,15.38,86.7,33.05,64.62,84.62,97.68,0.08,33.13,0,0.1,0.17,2049.99,1781,178.53,47.51
(주)광림,014200,2018/12,17.2,-77.22,-19.24,-39.19,82.8,97.08,0.02,-19.15,0,0.13,0.19,1556.61,-1202,25.8,45.42
(주)광림,014200,2019/12,15.69,-73.24,-31.77,-75.18,84.31,95.9,0.01,-31.27,0,0.5,0.86,1878.95,-1358,12.89,76.97
(주)광림,014200,2020/12,17.14,-9.65,-4.7,-9.63,82.86,92.11,0.02,-2.1,0,4.01,5.06,1969.93,-190,356.77,155.41
(주)광림,014200,2021/12,18.55,-7.1,-3.83,-5.52,81.45,89.67,0.01,-2.34,0,2.46,4.86,2587.82,-161,102.45,267.32
(주)광림,014200,2022/12,20,-50.3,-31.26,-41.61,80,87.55,0.06,-30.87,0,0.43,1.57,1721,-907,37.01,214.2
(주)광무,029480,2011/12,19.74,-102.34,-50.54,-92.94,80.26,123.59,0,-47.31,0,3.22,7.09,401.52,-517,78.79,-90.9
(주)광무,029480,2012/12,17.79,-37.4,-20.7,-35.22,82.21,113.9,0,-19.42,0,1.6,3.12,320.3,-1199,-45.79,-44.51
(주)광무,029480,2013/12,-1.15,-328.09,-74.46,-138.53,101.15,168.27,0,-71.83,0,2.66,5.68,535.99,-2190,-40.3,-365.95
(주)광무,029480,2014/12,17.9,-2.24,-3.03,-8.66,82.1,96.3,0,0.72,0,2.6,5.76,2037.28,-46,81.15,75.44
(주)광무,029480,2015/12,22.64,-15.46,-11.13,-33.57,77.36,103.52,0,-8.83,0,2.67,3.45,782.44,-130,-24.4,-27.5
(주)광무,029480,2016/12,17.7,0.36,0.38,1.21,82.3,95.1,0,2.72,0,2.2,3.41,1171.77,4,6.85,57.37
(주)광무,029480,2017/12,18.74,-15.56,-11.55,-31.04,81.26,99.07,0,-9.72,0,2.12,2.92,928.5,-144,10.67,8.6
(주)광무,029480,2018/12,17.33,-23.54,-17.74,-41.94,82.67,103.25,0,-16.59,0,1.34,1.99,631.41,-150,-27.13,-20.49
(주)광무,029480,2019/12,17.31,-24.86,-15.09,-39.35,82.69,108.95,0,-13.34,0,2.41,2.84,647.23,-155,-65.83,-57.95
(주)광무,029480,2020/12,11.1,-76.55,-40.63,-82.5,88.9,112.27,0,-37.3,0,3.86,6.55,403.76,-299,-26.71,-49.55
(주)광무,029480,2021/12,18.37,-4.84,-1.29,-2.35,81.63,101.94,0,-0.69,0,1.71,1.33,215.27,-10,-8.26,-4.17
(주)광무,029480,2022/12,9.39,-9.52,-6.32,-11.39,90.61,96.22,0,-2.37,0,5.95,8.87,2674.61,-259,-1186.41,101.03
(주)구스앤홈,329050,2017/12,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,,,,,,,,
(주)구영테크,053270,2011/12,18.59,1.58,1.08,3.61,81.41,94.79,0,4.36,0,4.74,4.69,4862.23,83,23.26,403.57
(주)구영테크,053270,2012/12,18.33,1.91,1.22,4.37,81.67,92.61,0.04,4.39,0,4.87,4.4,5089.55,105,264.45,376.31
(주)구영테크,053270,2013/12,17.26,1.49,1.1,3.79,82.74,94.15,0.01,3.9,0,3.75,3.94,5931.83,96,478.72,347.05
(주)구영테크,053270,2014/12,17.12,1.71,1.33,3.64,82.88,96.42,0.08,3.46,0,2.68,3.37,3930.44,77,-74.63,140.56
(주)구영테크,053270,2015/12,16.46,3.67,3.13,7.41,83.54,95.95,0,4.52,0,1.63,2.41,4400.75,173,473.57,178.32
(주)구영테크,053270,2016/12,18.49,5.2,3.7,8.66,81.51,94.54,0,4.32,0,0.88,1.07,3805.18,213,624.86,207.85
(주)구영테크,053270,2017/12,16.91,1.67,1,2.65,83.09,95.93,0,1.63,0,1.03,1.02,3753.54,68,168.71,152.84
(주)구영테크,053270,2018/12,14.96,4.78,2.74,7.45,85.04,98,0.06,4.05,0,2.22,2.07,4139.04,195,-117.01,82.78
(주)구영테크,053270,2019/12,14.34,1.67,1.08,2.67,85.66,97.3,0,2.46,0,2.05,2.32,3528.54,63,369.8,95.23
(주)구영테크,053270,2020/12,15.14,1.06,0.62,1.54,84.86,97.2,0,1.72,0,1.85,1.84,3214.39,37,303.65,90.06
(주)구영테크,053270,2021/12,15.54,2.81,1.89,4.73,84.46,96.93,0.02,2.82,0,1.36,1.56,3850.72,116,336.21,118.09
(주)구영테크,053270,2022/12,16.88,2.56,1.95,4.66,83.12,96.3,0,3.59,0.55,2.01,2.83,4404.27,119,303.82,163.18
(주)국보디자인,066620,2011/12,15.2,5.36,8.6,14.51,84.8,93.75,0.01,6.3,0,-1.51,-5.66,16427.07,924,2280.86,1131.85
(주)국보디자인,066620,2012/12,15.98,7.29,10.03,16.17,84.02,90.9,0,7.82,0,-1.74,-5.84,15794.48,1158,2111.49,1436.73
(주)국보디자인,066620,2013/12,12.94,6.15,8.77,15.29,87.06,93.19,0.01,7.17,0,-1.2,-3.76,20428.83,1256,2400.29,1392.02
(주)국보디자인,066620,2014/12,13.8,4.99,6.38,11.67,86.2,93.78,0.01,5.16,0,-1.01,-2.69,21102.51,1054,1918.15,1313.42
